seq,timestamp,data_source,flight_state,imu_accel_x,imu_accel_y,imu_accel_z,gyro_x,gyro_y,gyro_z,barometric_pressure,altitude,vertical_velocity,temperature,latitude,longitude,gps_altitude,gps_fix,gps_satellites,battery_voltage,separation_detected,quality_flags,crc16
27,0.540000,SIMULATED,PRELAUNCH,-0.010,-0.057,9.796,-0.055,-0.033,0.002,101326.9,-0.21,-0.24,,,,,,,,0,0,9F9D
28,0.560000,SIMULATED,PRELAUNCH,-0.047,-0.007,9.780,-0.021,-0.112,0.104,101325.5,-0.09,-0.24,,,,,,,,0,0,9FB7
29,0.580000,SIMULATED,PRELAUNCH,0.016,0.050,9.751,-0.002,0.099,0.017,101324.8,-0.04,-0.22,,,,,,,,0,0,BE7F
30,0.600000,SIMULATED,PRELAUNCH,0.039,0.017,9.759,0.057,0.026,-0.014,101319.4,0.40,-0.06,,,,,,,,0,0,8745
31,0.620000,SIMULATED,PRELAUNCH,-0.025,0.056,9.740,-0.123,0.027,0.029,101327.9,-0.30,-0.14,,,,,,,,0,0,B9D4
32,0.640000,SIMULATED,PRELAUNCH,-0.053,-0.049,9.794,-0.211,-0.204,-0.013,101322.7,0.13,-0.08,,,,,,,,0,0,C01C
33,0.660000,SIMULATED,PRELAUNCH,0.030,0.048,9.746,-0.131,-0.093,-0.018,101330.5,-0.50,-0.20,,,,,,,,0,0,7E03
34,0.680000,SIMULATED,PRELAUNCH,-0.009,0.021,9.874,-0.071,0.174,-0.002,101326.5,-0.16,-0.22,,,,,,,,0,0,ECF4
35,0.700000,SIMULATED,PRELAUNCH,-0.027,0.014,9.831,0.049,-0.053,-0.124,101327.5,-0.24,-0.25,,,,,,,,0,0,E00A
36,0.720000,SIMULATED,PRELAUNCH,0.003,-0.058,9.784,-0.108,0.165,0.078,101327.4,-0.23,-0.27,,,,,,,,0,0,6C2E
37,0.740000,SIMULATED,PRELAUNCH,0.026,0.088,9.836,-0.004,0.032,0.022,101325.8,-0.09,-0.26,,,,,,,,0,0,A598
38,0.760000,SIMULATED,PRELAUNCH,-0.052,0.024,9.857,0.008,0.047,-0.070,101327.3,-0.20,-0.27,,,,,,,,0,0,BE40
39,0.780000,SIMULATED,PRELAUNCH,0.058,0.006,9.814,-0.045,0.054,-0.064,101319.8,0.40,-0.16,,,,,,,,0,0,5596
40,0.800000,SIMULATED,PRELAUNCH,0.070,-0.044,9.813,-0.076,-0.053,0.036,101321.5,0.26,-0.09,,,,,,,,0,0,BB41
41,0.820000,SIMULATED,PRELAUNCH,0.036,0.017,9.735,0.029,-0.186,0.238,101327.0,-0.19,-0.11,,,,,,,,0,0,6009
42,0.840000,SIMULATED,PRELAUNCH,-0.041,-0.019,9.764,0.072,-0.001,-0.001,101322.0,0.22,-0.06,,,,,,,,0,0,9528
43,0.860000,SIMULATED,PRELAUNCH,-0.067,0.048,9.848,0.230,0.114,0.081,101325.4,-0.07,-0.07,,,,,,,,0,0,E87C
44,0.880000,SIMULATED,PRELAUNCH,-0.003,-0.004,9.835,0.030,0.006,-0.101,101329.1,-0.36,-0.11,,,,,,,,0,0,46CC
45,0.900000,SIMULATED,PRELAUNCH,0.046,0.018,9.792,0.016,-0.093,-0.065,101325.8,-0.09,-0.11,,,,,,,,0,0,D91C
46,0.920000,SIMULATED,PRELAUNCH,0.078,0.007,9.887,0.045,0.006,-0.192,101327.3,-0.21,-0.13,,,,,,,,0,0,324E
47,0.940000,SIMULATED,PRELAUNCH,0.095,-0.064,9.742,0.018,0.001,0.023,101324.5,0.02,-0.11,,,,,,,,0,0,AAC7
48,0.960000,SIMULATED,PRELAUNCH,0.038,0.033,9.760,0.027,0.169,0.057,101324.7,0.01,-0.10,,,,,,,,0,0,0C66
49,0.980000,SIMULATED,PRELAUNCH,-0.045,0.025,9.772,-0.014,0.007,-0.002,101324.4,0.03,-0.08,,,,,,,,0,0,C8B6
50,1.000000,SIMULATED,PRELAUNCH,-0.010,0.071,9.767,-0.034,-0.069,-0.076,101322.2,0.21,-0.05,23.82,,,,0,3,4.099,0,0,B0BC
51,1.020000,SIMULATED,PRELAUNCH,0.118,0.047,9.735,0.073,0.078,0.058,101328.3,-0.29,-0.08,,,,,,,,0,0,8EF0
52,1.040000,SIMULATED,PRELAUNCH,-0.070,0.009,9.758,0.147,0.041,-0.065,101323.8,0.08,-0.06,,,,,,,,0,0,7BE3
53,1.060000,SIMULATED,PRELAUNCH,-0.003,0.065,9.785,0.048,0.092,-0.006,101322.7,0.17,-0.03,,,,,,,,0,0,148D
54,1.080000,SIMULATED,PRELAUNCH,0.076,-0.076,9.904,0.112,-0.107,0.010,101325.6,-0.07,-0.03,,,,,,,,0,0,DE3D
55,1.100000,SIMULATED,PRELAUNCH,-0.037,0.106,9.793,-0.075,0.099,0.124,101331.2,-0.53,-0.08,,,,,,,,0,0,0E1E
56,1.120000,SIMULATED,PRELAUNCH,0.019,-0.008,9.787,0.016,-0.022,0.062,101320.7,0.34,-0.04,,,,,,,,0,0,AED7
57,1.140000,SIMULATED,PRELAUNCH,-0.046,0.054,9.755,0.088,-0.166,-0.071,101324.7,0.01,-0.03,,,,,,,,0,0,DC9A
58,1.160000,SIMULATED,PRELAUNCH,-0.005,0.025,9.669,-0.027,-0.101,-0.045,101323.1,0.14,-0.02,,,,,,,,0,0,FE06
59,1.180000,SIMULATED,PRELAUNCH,0.097,0.055,9.838,-0.046,-0.148,-0.166,101325.0,-0.02,-0.02,,,,,,,,0,0,22D5
60,1.200000,SIMULATED,PRELAUNCH,0.005,-0.057,9.771,0.116,-0.012,-0.022,101328.5,-0.31,-0.04,,,,,,,,0,0,577D
61,1.220000,SIMULATED,PRELAUNCH,-0.015,-0.027,9.816,-0.053,0.046,-0.039,101317.8,0.58,0.01,,,,,,,,0,0,A2CE
62,1.240000,SIMULATED,PRELAUNCH,0.040,0.052,9.845,-0.004,0.069,0.122,101321.1,0.29,0.04,,,,,,,,0,0,7C75
63,1.260000,SIMULATED,PRELAUNCH,-0.062,-0.083,9.822,0.064,-0.228,0.060,101324.5,0.01,0.04,,,,,,,,0,0,89A8
64,1.280000,SIMULATED,PRELAUNCH,-0.017,-0.083,9.815,0.101,-0.036,0.180,101320.3,0.35,0.07,,,,,,,,0,0,6851
65,1.300000,SIMULATED,PRELAUNCH,0.062,-0.053,9.795,0.035,0.106,-0.029,101327.3,-0.22,0.05,,,,,,,,0,0,90BD
66,1.320000,SIMULATED,PRELAUNCH,-0.056,-0.006,9.887,-0.010,0.007,0.091,101325.6,-0.08,0.04,,,,,,,,0,0,B114
67,1.340000,SIMULATED,PRELAUNCH,0.053,0.080,9.802,0.150,-0.053,-0.005,101320.9,0.31,0.06,,,,,,,,0,0,A37D
68,1.360000,SIMULATED,PRELAUNCH,0.079,-0.164,9.819,-0.052,-0.028,0.222,101318.9,0.47,0.09,,,,,,,,0,0,B8E7
69,1.380000,SIMULATED,PRELAUNCH,-0.009,0.026,9.777,0.034,0.035,0.023,101323.0,0.12,0.10,,,,,,,,0,0,71D6
70,1.400000,SIMULATED,PRELAUNCH,-0.028,0.071,9.768,0.213,-0.027,-0.120,101323.1,0.11,0.10,,,,,,,,0,0,253F
71,1.420000,SIMULATED,PRELAUNCH,-0.017,-0.025,9.700,0.207,0.007,0.083,101319.7,0.39,0.12,,,,,,,,0,0,0059
72,1.440000,SIMULATED,PRELAUNCH,-0.012,0.048,9.739,-0.035,-0.081,0.133,101323.7,0.06,0.12,,,,,,,,0,0,499D
73,1.460000,SIMULATED,PRELAUNCH,-0.016,-0.006,9.787,0.070,0.052,0.034,101332.6,-0.67,0.07,,,,,,,,0,0,E394
74,1.480000,SIMULATED,PRELAUNCH,-0.025,-0.016,9.823,0.217,0.137,0.135,101322.1,0.19,0.08,,,,,,,,0,0,7867
75,1.500000,SIMULATED,PRELAUNCH,0.016,-0.033,9.773,0.120,0.133,0.013,101321.7,0.23,0.09,,,,,,,,0,0,0081
76,1.520000,SIMULATED,PRELAUNCH,-0.069,0.123,9.764,-0.119,-0.152,0.147,101317.9,0.53,0.11,,,,,,,,0,0,8B73
77,1.540000,SIMULATED,PRELAUNCH,-0.022,-0.007,9.734,0.000,-0.045,-0.192,101326.8,-0.20,0.10,,,,,,,,0,0,6D42
78,1.560000,SIMULATED,PRELAUNCH,0.016,0.046,9.810,0.223,-0.034,-0.099,101323.9,0.04,0.10,,,,,,,,0,0,3B1C
79,1.580000,SIMULATED,PRELAUNCH,0.082,-0.057,9.755,-0.041,-0.010,0.107,101330.2,-0.48,0.07,,,,,,,,0,0,B3E8
80,1.600000,SIMULATED,PRELAUNCH,0.063,-0.048,9.731,-0.075,0.024,0.056,101328.5,-0.34,0.05,,,,,,,,0,0,0676
81,1.620000,SIMULATED,PRELAUNCH,-0.016,0.043,9.803,-0.089,-0.116,-0.076,101324.1,0.04,0.05,,,,,,,,0,0,6AB1
82,1.640000,SIMULATED,PRELAUNCH,0.024,0.047,9.802,0.114,-0.052,0.093,101328.5,-0.33,0.03,,,,,,,,0,0,A455
83,1.660000,SIMULATED,PRELAUNCH,-0.052,0.032,9.789,-0.090,0.001,-0.074,101324.0,0.04,0.03,,,,,,,,0,0,2AD8
84,1.680000,SIMULATED,PRELAUNCH,0.044,-0.030,9.751,-0.018,0.107,-0.073,101330.0,-0.45,0.01,,,,,,,,0,0,9846
85,1.700000,SIMULATED,PRELAUNCH,-0.013,0.036,9.853,0.043,-0.193,0.067,101322.4,0.18,0.02,,,,,,,,0,0,CF6E
86,1.720000,SIMULATED,PRELAUNCH,-0.061,0.047,9.884,0.071,0.042,-0.009,101326.6,-0.17,0.01,,,,,,,,0,0,5B1E
87,1.740000,SIMULATED,PRELAUNCH,0.044,-0.030,9.835,-0.208,-0.199,-0.048,101329.0,-0.36,-0.01,,,,,,,,0,0,2F92
88,1.760000,SIMULATED,PRELAUNCH,0.009,-0.022,9.765,0.107,0.099,0.029,101326.9,-0.19,-0.01,,,,,,,,0,0,2290
89,1.780000,SIMULATED,PRELAUNCH,0.017,0.059,9.876,-0.073,0.016,0.044,101323.8,0.07,-0.01,,,,,,,,0,0,5BB7
90,1.800000,SIMULATED,PRELAUNCH,-0.060,-0.066,9.873,-0.124,0.192,0.151,101323.9,0.06,0.00,,,,,,,,0,0,D8FD
91,1.820000,SIMULATED,PRELAUNCH,0.039,-0.016,9.863,0.061,-0.061,0.162,101334.4,-0.80,-0.04,,,,,,,,0,0,45E2
92,1.840000,SIMULATED,PRELAUNCH,-0.037,-0.060,9.786,-0.027,-0.054,0.163,101323.8,0.08,-0.03,,,,,,,,0,0,C685
93,1.860000,SIMULATED,PRELAUNCH,-0.063,-0.011,9.861,0.032,-0.022,0.099,101326.8,-0.17,-0.03,,,,,,,,0,0,5563
94,1.880000,SIMULATED,PRELAUNCH,-0.076,-0.024,9.880,-0.110,0.015,0.003,101330.0,-0.43,-0.05,,,,,,,,0,0,4A34
95,1.900000,SIMULATED,PRELAUNCH,-0.033,-0.043,9.768,-0.120,-0.070,-0.007,101325.3,-0.04,-0.05,,,,,,,,0,0,DB9E
96,1.920000,SIMULATED,PRELAUNCH,0.018,0.030,9.811,0.099,0.018,-0.127,101319.4,0.45,-0.03,,,,,,,,0,0,A716
97,1.940000,SIMULATED,PRELAUNCH,0.058,0.013,9.795,-0.099,0.074,-0.076,101319.8,0.41,-0.01,,,,,,,,0,0,12BA
98,1.960000,SIMULATED,PRELAUNCH,0.025,-0.078,9.902,-0.126,-0.102,-0.029,101325.5,-0.07,-0.01,,,,,,,,0,0,75CA
99,1.980000,SIMULATED,PRELAUNCH,-0.048,-0.008,9.737,-0.086,0.094,-0.199,101325.0,-0.02,-0.02,,,,,,,,0,0,7CEC
100,2.000000,SIMULATED,PRELAUNCH,-0.100,0.063,9.822,0.139,0.024,0.006,101328.5,-0.31,-0.03,23.89,-0.0000203,-0.0000088,1.5,3,9,4.100,0,0,21A8
101,2.020000,SIMULATED,PRELAUNCH,0.007,0.127,9.822,0.037,-0.041,0.130,101325.5,-0.06,-0.03,,,,,,,,0,0,256C
102,2.040000,SIMULATED,PRELAUNCH,-0.002,0.086,9.809,0.109,0.113,-0.051,101326.1,-0.10,-0.03,,,,,,,,0,0,1432
103,2.060000,SIMULATED,PRELAUNCH,0.043,0.017,9.782,-0.138,-0.045,-0.029,101320.6,0.35,-0.01,,,,,,,,0,0,9D77
104,2.080000,SIMULATED,PRELAUNCH,-0.050,0.072,9.719,-0.056,0.055,0.182,101323.8,0.08,-0.01,,,,,,,,0,0,E029
105,2.100000,SIMULATED,PRELAUNCH,0.008,0.026,9.869,0.061,-0.056,0.065,101323.6,0.09,-0.01,,,,,,,,0,0,789F
106,2.120000,SIMULATED,PRELAUNCH,-0.005,0.041,9.847,0.117,-0.023,0.028,101319.9,0.39,0.01,,,,,,,,0,0,B76F
107,2.140000,SIMULATED,PRELAUNCH,0.082,-0.075,9.816,-0.149,0.108,0.039,101324.1,0.05,0.01,,,,,,,,0,0,9302
108,2.160000,SIMULATED,PRELAUNCH,-0.068,0.035,9.843,0.083,-0.005,0.083,101322.5,0.19,0.02,,,,,,,,0,0,CE26
109,2.180000,SIMULATED,PRELAUNCH,-0.051,0.044,9.811,0.053,-0.088,0.130,101322.4,0.19,0.02,,,,,,,,0,0,12D5
110,2.200000,SIMULATED,PRELAUNCH,-0.003,0.011,9.846,-0.044,-0.065,-0.162,101329.6,-0.41,0.01,,,,,,,,0,0,9D14
111,2.220000,SIMULATED,PRELAUNCH,-0.051,0.041,9.719,0.159,-0.149,0.003,101323.4,0.11,0.01,,,,,,,,0,0,FAAF
112,2.240000,SIMULATED,PRELAUNCH,0.070,0.047,9.742,0.069,-0.169,-0.097,101325.7,-0.08,0.01,,,,,,,,0,0,7A95
113,2.260000,SIMULATED,PRELAUNCH,-0.097,0.066,9.686,0.007,-0.101,0.020,101326.2,-0.12,0.00,,,,,,,,0,0,5D24
114,2.280000,SIMULATED,PRELAUNCH,-0.040,-0.071,9.717,0.035,0.095,-0.028,101328.3,-0.29,-0.01,,,,,,,,0,0,F29C
115,2.300000,SIMULATED,PRELAUNCH,-0.058,0.034,9.845,-0.141,-0.037,0.034,101321.6,0.26,0.00,,,,,,,,0,0,8C62
116,2.320000,SIMULATED,PRELAUNCH,0.006,0.009,9.819,0.180,0.009,0.087,101329.5,-0.39,-0.01,,,,,,,,0,0,3C49
117,2.340000,SIMULATED,PRELAUNCH,-0.039,-0.039,9.833,-0.094,-0.013,0.022,101323.3,0.13,0.00,,,,,,,,0,0,8914
118,2.360000,SIMULATED,PRELAUNCH,0.006,-0.012,9.737,-0.133,-0.110,-0.047,101323.8,0.09,0.00,,,,,,,,0,0,7019
119,2.380000,SIMULATED,PRELAUNCH,0.033,0.067,9.847,0.082,0.213,0.098,101321.7,0.26,0.01,,,,,,,,0,0,8408
120,2.400000,SIMULATED,PRELAUNCH,0.064,-0.071,9.832,0.017,-0.165,-0.008,101325.6,-0.05,0.00,,,,,,,,0,0,843E
121,2.420000,SIMULATED,PRELAUNCH,0.004,-0.074,9.821,-0.052,-0.093,0.051,101327.4,-0.21,0.00,,,,,,,,0,0,A348
122,2.440000,SIMULATED,PRELAUNCH,0.005,0.044,9.898,0.016,0.096,-0.037,101324.9,0.01,0.00,,,,,,,,0,0,3A28
123,2.460000,SIMULATED,PRELAUNCH,0.019,-0.001,9.779,-0.239,0.199,0.054,101329.8,-0.40,-0.01,,,,,,,,0,0,72E2
124,2.480000,SIMULATED,PRELAUNCH,-0.055,0.006,9.781,0.131,0.035,-0.057,101324.1,0.07,-0.01,,,,,,,,0,0,3D8A
125,2.500000,SIMULATED,PRELAUNCH,-0.041,-0.012,9.827,0.053,0.146,0.116,101322.5,0.20,0.00,,,,,,,,0,0,797A
126,2.520000,SIMULATED,PRELAUNCH,0.033,0.042,9.799,0.096,-0.171,0.019,101329.6,-0.39,-0.01,,,,,,,,0,0,35AF
127,2.540000,SIMULATED,PRELAUNCH,0.046,0.103,9.867,-0.002,0.120,-0.132,101321.0,0.32,0.00,,,,,,,,0,0,2ED7
128,2.560000,SIMULATED,PRELAUNCH,-0.033,-0.032,9.881,-0.060,0.054,-0.002,101325.2,-0.03,0.00,,,,,,,,0,0,3D78
129,2.580000,SIMULATED,PRELAUNCH,0.092,0.047,9.808,-0.143,-0.152,-0.014,101328.9,-0.34,-0.01,,,,,,,,0,0,C5E2
130,2.600000,SIMULATED,PRELAUNCH,-0.003,-0.034,9.829,-0.128,0.007,-0.061,101328.8,-0.32,-0.02,,,,,,,,0,0,FD7C
131,2.620000,SIMULATED,PRELAUNCH,0.022,0.003,9.814,0.104,-0.094,0.101,101324.5,0.04,-0.01,,,,,,,,0,0,80A6
132,2.640000,SIMULATED,PRELAUNCH,-0.010,0.020,9.751,0.187,0.019,0.075,101322.7,0.19,-0.01,,,,,,,,0,0,B76E
133,2.660000,SIMULATED,PRELAUNCH,-0.066,0.031,9.654,-0.005,-0.059,0.121,101322.7,0.18,-0.01,,,,,,,,0,0,4A98
134,2.680000,SIMULATED,PRELAUNCH,0.105,-0.008,9.870,-0.030,-0.146,0.095,101326.2,-0.11,-0.01,,,,,,,,0,0,F9D4
135,2.700000,SIMULATED,PRELAUNCH,-0.057,0.072,9.811,0.012,-0.069,0.066,101324.7,0.01,-0.01,,,,,,,,0,0,D3F9
136,2.720000,SIMULATED,PRELAUNCH,-0.053,-0.024,9.861,-0.178,-0.082,0.025,101323.1,0.15,0.00,,,,,,,,0,0,5512
137,2.740000,SIMULATED,PRELAUNCH,0.056,0.012,9.761,0.032,-0.085,-0.057,101326.1,-0.11,0.00,,,,,,,,0,0,D614
138,2.760000,SIMULATED,PRELAUNCH,0.039,-0.003,9.852,-0.100,0.203,-0.013,101327.5,-0.22,-0.01,,,,,,,,0,0,0DC3
139,2.780000,SIMULATED,PRELAUNCH,-0.034,-0.002,9.812,0.004,-0.013,-0.051,101323.2,0.14,0.00,,,,,,,,0,0,54A6
140,2.800000,SIMULATED,PRELAUNCH,-0.049,-0.063,9.699,-0.077,-0.069,0.004,101323.2,0.14,0.00,,,,,,,,0,0,9020
141,2.820000,SIMULATED,PRELAUNCH,0.020,0.027,9.864,0.084,-0.145,0.212,101324.0,0.07,0.00,,,,,,,,0,0,9E34
142,2.840000,SIMULATED,PRELAUNCH,0.040,-0.028,9.921,-0.017,-0.122,-0.129,101322.0,0.23,0.01,,,,,,,,0,0,A21B
143,2.860000,SIMULATED,PRELAUNCH,-0.029,0.067,9.798,0.095,-0.034,-0.095,101328.2,-0.28,0.00,,,,,,,,0,0,7BD5
144,2.880000,SIMULATED,PRELAUNCH,-0.013,-0.011,9.830,0.135,-0.004,-0.009,101322.8,0.16,0.01,,,,,,,,0,0,1FC1
145,2.900000,SIMULATED,PRELAUNCH,0.028,-0.059,9.742,0.036,0.109,-0.042,101324.1,0.06,0.01,,,,,,,,0,0,5132
146,2.920000,SIMULATED,PRELAUNCH,0.048,-0.063,9.764,0.025,-0.028,0.024,101322.9,0.16,0.01,,,,,,,,0,0,70DF
147,2.940000,SIMULATED,PRELAUNCH,0.061,-0.018,9.780,-0.147,0.003,0.089,101316.7,0.66,0.02,,,,,,,,0,0,9EEF
148,2.960000,SIMULATED,PRELAUNCH,0.019,-0.025,9.757,-0.029,0.171,-0.130,101325.4,-0.06,0.02,,,,,,,,0,0,89CC
149,2.980000,SIMULATED,PRELAUNCH,0.022,-0.007,9.715,-0.203,-0.079,0.094,101323.7,0.08,0.02,,,,,,,,0,0,FD42
150,3.000000,SIMULATED,PRELAUNCH,-0.005,0.004,9.789,-0.050,0.084,-0.001,101326.2,-0.12,0.02,23.76,0.0000030,-0.0000095,5.5,3,9,4.100,0,0,5EB4
151,3.020000,SIMULATED,PRELAUNCH,-0.060,0.064,9.729,0.121,0.067,0.039,101324.3,0.03,0.02,,,,,,,,0,0,4D87
152,3.040000,SIMULATED,PRELAUNCH,0.006,-0.039,9.706,0.040,0.183,-0.222,101325.8,-0.09,0.01,,,,,,,,0,0,9056
153,3.060000,SIMULATED,PRELAUNCH,0.026,-0.102,9.729,-0.007,-0.186,-0.084,101321.7,0.24,0.02,,,,,,,,0,0,6E1C
154,3.080000,SIMULATED,PRELAUNCH,0.063,0.022,9.723,0.052,-0.105,0.027,101328.4,-0.31,0.01,,,,,,,,0,0,5FCB
155,3.100000,SIMULATED,PRELAUNCH,-0.051,-0.043,9.833,-0.012,0.133,0.009,101327.4,-0.23,0.00,,,,,,,,0,0,092C
156,3.120000,SIMULATED,PRELAUNCH,0.103,0.085,9.882,-0.033,0.054,-0.077,101323.4,0.11,0.01,,,,,,,,0,0,BC5C
157,3.140000,SIMULATED,PRELAUNCH,-0.074,0.005,9.842,-0.060,-0.030,-0.014,101329.0,-0.35,0.00,,,,,,,,0,0,AA26
158,3.160000,SIMULATED,PRELAUNCH,-0.064,0.030,9.768,0.095,-0.124,0.039,101324.6,0.01,0.00,,,,,,,,0,0,6A08
159,3.180000,SIMULATED,PRELAUNCH,0.070,0.051,9.779,0.129,0.015,0.120,101324.0,0.06,0.00,,,,,,,,0,0,8FD1
160,3.200000,SIMULATED,PRELAUNCH,0.050,-0.012,9.749,-0.082,-0.045,0.134,101322.6,0.17,0.00,,,,,,,,0,0,776F
161,3.220000,SIMULATED,PRELAUNCH,0.101,0.067,9.796,0.165,-0.060,0.031,101322.7,0.17,0.00,,,,,,,,0,0,CAEB
162,3.240000,SIMULATED,PRELAUNCH,-0.014,0.027,9.839,-0.137,-0.043,-0.054,101319.0,0.47,0.01,,,,,,,,0,0,6179
163,3.260000,SIMULATED,PRELAUNCH,0.047,0.007,9.807,-0.037,0.104,0.004,101323.7,0.08,0.02,,,,,,,,0,0,D28E
164,3.280000,SIMULATED,PRELAUNCH,-0.033,0.013,9.779,0.052,-0.117,0.049,101323.0,0.14,0.02,,,,,,,,0,0,EB19
165,3.300000,SIMULATED,PRELAUNCH,-0.043,-0.013,9.883,0.141,0.147,-0.044,101326.6,-0.15,0.02,,,,,,,,0,0,4B62
166,3.320000,SIMULATED,PRELAUNCH,0.072,-0.073,9.867,0.024,-0.093,0.090,101320.8,0.32,0.02,,,,,,,,0,0,8100
167,3.340000,SIMULATED,PRELAUNCH,-0.005,-0.106,9.725,-0.097,-0.102,0.147,101327.8,-0.25,0.01,,,,,,,,0,0,8D18
168,3.360000,SIMULATED,PRELAUNCH,-0.018,0.023,9.755,0.013,-0.009,0.017,101323.2,0.13,0.02,,,,,,,,0,0,B8FF
169,3.380000,SIMULATED,PRELAUNCH,0.053,-0.104,9.792,-0.136,-0.096,-0.087,101320.9,0.33,0.02,,,,,,,,0,0,6249
170,3.400000,SIMULATED,PRELAUNCH,0.030,0.023,9.851,-0.126,-0.082,-0.245,101330.0,-0.43,0.01,,,,,,,,0,0,E29D
171,3.420000,SIMULATED,PRELAUNCH,0.027,0.019,9.814,0.068,-0.175,-0.039,101328.2,-0.27,0.01,,,,,,,,0,0,D91B
172,3.440000,SIMULATED,PRELAUNCH,-0.028,0.033,9.804,-0.031,0.098,-0.123,101323.5,0.12,0.01,,,,,,,,0,0,4E82
173,3.460000,SIMULATED,PRELAUNCH,-0.001,0.078,9.706,0.019,-0.035,0.157,101320.7,0.34,0.01,,,,,,,,0,0,13FF
