rx_time_s,seq,time_s,simulated,flight_state,altitude_m,vertical_velocity_mps,accel_axial_mps2,accel_magnitude_mps2,temperature_c,latitude_deg,longitude_deg,gps_altitude_m,gps_fix,gps_satellites,battery_voltage_v,separation,imu_ok,baro_ok,gnss_ok,temp_ok,battery_ok
6.4,32,6.4,True,ASCENT,43.5,61.02,50.43,50.43,23.56,-3.1e-06,-1.21e-05,3.5,3,9,4.095,False,True,True,True,True,True
6.6,33,6.6,True,COAST,56.1,60.35,-35.42,35.42,23.56,-3.1e-06,-1.21e-05,3.5,3,9,4.095,False,True,True,True,True,True
6.8,34,6.8,True,COAST,67.3,52.36,-26.48,26.49,23.56,-3.1e-06,-1.21e-05,3.5,3,9,4.095,False,True,True,True,True,True
7.0,35,7.0,True,COAST,77.2,45.85,-20.27,20.28,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
7.2,36,7.2,True,COAST,85.8,40.39,-15.64,15.64,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
7.4,37,7.4,True,COAST,93.4,35.67,-12.13,12.13,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
7.6,38,7.6,True,COAST,100.2,31.61,-9.57,9.57,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
7.8,39,7.8,True,COAST,106.1,27.94,-7.48,7.49,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.094,False,True,True,True,True,True
8.0,40,8.0,True,COAST,111.3,24.67,-5.81,5.81,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.092,False,True,True,True,True,True
8.2,41,8.2,True,COAST,115.9,21.69,-4.46,4.46,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.092,False,True,True,False,True,True
8.4,42,8.4,True,COAST,120.0,18.99,-3.4,3.41,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.092,False,True,True,False,True,True
8.6,43,8.6,True,COAST,123.6,16.49,-2.47,2.47,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.092,False,True,True,False,True,True
8.8,44,8.8,True,COAST,126.6,14.07,-1.9,1.91,23.48,-3.1e-06,-1.21e-05,3.5,3,9,4.092,False,True,True,False,True,True
9.0,45,9.0,True,COAST,129.2,11.74,-1.32,1.32,23.36,3.09e-05,6.57e-05,126.4,3,9,4.089,False,True,True,True,True,True
9.2,46,9.2,True,COAST,131.3,9.55,-0.95,0.95,23.36,3.09e-05,6.57e-05,126.4,3,9,4.089,False,True,True,True,True,True
9.4,47,9.4,True,COAST,133.0,7.44,-0.49,0.49,23.36,3.09e-05,6.57e-05,126.4,3,9,4.089,False,True,True,True,True,True
9.6,48,9.6,True,COAST,134.2,5.4,-0.28,0.29,23.36,3.09e-05,6.57e-05,126.4,3,9,4.089,False,True,True,True,True,True
9.8,49,9.8,True,COAST,135.0,3.3,-0.14,0.18,23.36,3.09e-05,6.57e-05,126.4,3,9,4.089,False,True,True,True,True,True
10.0,50,10.0,True,COAST,135.4,1.31,-0.03,0.06,23.28,5.91e-05,6.85e-05,137.1,3,9,4.087,False,True,True,True,True,True
10.2,51,10.2,True,COAST,135.5,-0.41,3.75,9.83,23.28,5.91e-05,6.85e-05,137.1,3,9,4.087,False,True,True,True,True,True
10.4,52,10.4,True,COAST,135.0,-1.94,2.92,9.78,23.28,5.91e-05,6.85e-05,137.1,3,9,4.087,False,True,True,True,True,True
10.6,53,10.6,True,DESCENT,134.1,-3.36,2.5,9.81,23.28,5.91e-05,6.85e-05,137.1,3,9,4.087,True,True,True,True,True,True
10.8,54,10.8,True,DESCENT,133.1,-3.73,2.75,9.84,23.28,5.91e-05,6.85e-05,137.1,3,9,4.087,True,True,True,True,True,True
11.0,55,11.0,True,DESCENT,131.9,-4.25,3.54,9.86,23.16,6.52e-05,0.0001279,131.7,3,9,4.09,True,True,True,True,True,True
11.2,56,11.2,True,DESCENT,130.7,-4.85,4.65,9.86,23.16,6.52e-05,0.0001279,131.7,3,9,4.09,True,True,True,True,True,True
11.4,57,11.4,True,DESCENT,129.5,-5.27,5.69,9.79,23.16,6.52e-05,0.0001279,131.7,3,9,4.09,True,True,True,True,True,True
11.6,58,11.6,True,DESCENT,128.3,-5.45,6.48,9.74,23.16,6.52e-05,0.0001279,131.7,3,9,4.09,True,True,True,True,True,True
11.8,59,11.8,True,DESCENT,127.1,-5.54,6.89,9.84,23.16,6.52e-05,0.0001279,131.7,3,9,4.09,True,True,True,True,True,True
12.0,60,12.0,True,DESCENT,126.1,-5.45,6.84,9.75,23.16,3.87e-05,0.0001195,125.7,3,9,4.098,True,True,True,True,True,True
12.2,61,12.2,True,DESCENT,125.0,-5.45,6.37,9.78,23.16,3.87e-05,0.0001195,125.7,3,9,4.098,True,True,True,True,True,True
12.4,62,12.4,True,DESCENT,124.0,-5.26,5.47,9.86,23.16,3.87e-05,0.0001195,125.7,3,9,4.098,True,True,True,True,True,True
12.6,63,12.6,True,DESCENT,123.0,-5.2,4.38,9.74,23.16,3.87e-05,0.0001195,125.7,3,9,4.098,True,True,True,True,True,True
12.8,64,12.8,True,DESCENT,122.2,-4.94,3.33,9.81,23.16,3.87e-05,0.0001195,125.7,3,9,4.098,True,True,True,True,True,True
13.0,65,13.0,True,DESCENT,121.2,-4.95,2.62,9.84,23.08,7.56e-05,0.0001498,119.7,3,9,4.092,True,True,True,True,True,True
13.2,66,13.2,True,DESCENT,120.2,-4.91,2.62,9.78,23.08,7.56e-05,0.0001498,119.7,3,9,4.092,True,True,True,True,True,True
13.4,67,13.4,True,DESCENT,119.2,-4.89,3.06,9.93,23.08,7.56e-05,0.0001498,119.7,3,9,4.092,True,True,True,True,True,True
13.6,68,13.6,True,DESCENT,118.2,-4.99,4.15,9.84,23.08,7.56e-05,0.0001498,119.7,3,9,4.092,True,True,True,True,True,True
13.8,69,13.8,True,DESCENT,117.2,-5.0,5.1,9.72,23.08,7.56e-05,0.0001498,119.7,3,9,4.092,True,True,True,True,True,True
14.0,70,14.0,True,DESCENT,116.2,-4.95,6.14,9.76,22.97,6.76e-05,0.0001841,110.5,3,9,4.089,True,True,True,True,True,True
14.2,71,14.2,True,DESCENT,115.2,-5.04,6.82,9.9,22.97,6.76e-05,0.0001841,110.5,3,9,4.089,True,True,True,True,True,True
14.4,72,14.4,True,DESCENT,114.2,-5.0,6.88,9.77,22.97,6.76e-05,0.0001841,110.5,3,9,4.089,True,True,True,True,True,True
14.6,73,14.6,True,DESCENT,113.2,-4.99,6.6,9.73,22.97,6.76e-05,0.0001841,110.5,3,9,4.089,True,True,True,True,True,True
14.8,74,14.8,True,DESCENT,112.1,-5.06,5.93,9.84,22.97,6.76e-05,0.0001841,110.5,3,9,4.089,True,True,True,True,True,True
15.0,75,15.0,True,DESCENT,111.2,-4.9,4.88,9.82,22.88,0.0001147,0.0001842,114.9,3,9,4.086,True,True,True,True,True,True
15.2,76,15.2,True,DESCENT,110.2,-5.01,3.79,9.8,22.88,0.0001147,0.0001842,114.9,3,9,4.086,True,True,True,True,True,True
15.4,77,15.4,True,DESCENT,109.2,-5.05,2.83,9.78,22.88,0.0001147,0.0001842,114.9,3,9,4.086,True,True,True,True,True,True
15.6,78,15.6,True,DESCENT,108.1,-5.08,2.56,9.8,22.88,0.0001147,0.0001842,114.9,3,9,4.086,True,True,True,True,True,True
15.8,79,15.8,True,DESCENT,107.1,-5.05,2.75,9.79,22.88,0.0001147,0.0001842,114.9,3,9,4.086,True,True,True,True,True,True
16.0,80,16.0,True,DESCENT,106.1,-5.06,3.54,9.76,22.86,8.85e-05,0.0002042,103.2,3,9,4.087,True,True,True,True,True,True
16.2,81,16.2,True,DESCENT,105.1,-5.07,4.74,9.85,22.86,8.85e-05,0.0002042,103.2,3,9,4.087,True,True,True,True,True,True
16.4,82,16.4,True,DESCENT,104.2,-4.94,5.8,9.88,22.86,8.85e-05,0.0002042,103.2,3,9,4.087,True,True,True,True,True,True
16.6,83,16.6,True,DESCENT,103.3,-4.84,6.53,9.84,22.86,8.85e-05,0.0002042,103.2,3,9,4.087,True,True,True,True,True,True
16.8,84,16.8,True,DESCENT,102.2,-4.99,6.95,9.89,22.86,8.85e-05,0.0002042,103.2,3,9,4.087,True,True,True,True,True,True
17.0,85,17.0,True,DESCENT,101.2,-4.96,6.81,9.75,22.78,9.67e-05,0.0002405,99.5,3,9,4.085,True,True,True,True,True,True
17.2,86,17.2,True,DESCENT,100.1,-5.13,6.38,9.85,22.78,9.67e-05,0.0002405,99.5,3,9,4.085,True,True,True,True,True,True
17.4,87,17.4,True,DESCENT,99.2,-4.95,5.45,9.77,22.78,9.67e-05,0.0002405,99.5,3,9,4.085,True,True,True,True,True,True
17.6,88,17.6,True,DESCENT,98.3,-4.88,4.34,9.94,22.78,9.67e-05,0.0002405,99.5,3,9,4.085,True,True,True,True,True,True
17.8,89,17.8,True,DESCENT,97.2,-5.03,3.33,9.78,22.78,9.67e-05,0.0002405,99.5,3,9,4.085,True,True,True,True,True,True
18.0,90,18.0,True,DESCENT,96.2,-4.98,2.69,9.81,22.71,9.17e-05,0.0002244,101.9,3,9,4.088,True,True,True,True,True,True
18.2,91,18.2,True,DESCENT,95.3,-4.96,2.52,9.83,22.71,9.17e-05,0.0002244,101.9,3,9,4.088,True,True,True,True,True,True
18.4,92,18.4,True,DESCENT,94.2,-5.08,3.16,9.92,22.71,9.17e-05,0.0002244,101.9,3,9,4.088,True,True,True,True,True,True
18.6,93,18.6,True,DESCENT,93.1,-5.12,4.12,9.8,22.71,9.17e-05,0.0002244,101.9,3,9,4.088,True,True,True,True,True,True
18.8,94,18.8,True,DESCENT,92.1,-5.11,5.13,9.79,22.71,9.17e-05,0.0002244,101.9,3,9,4.088,True,True,True,True,True,True
19.0,95,19.0,True,DESCENT,91.2,-5.03,6.16,9.69,22.6,0.0001194,0.0002399,88.8,3,9,4.088,True,True,True,True,True,True
19.2,96,19.2,True,DESCENT,90.2,-4.86,6.78,9.79,22.6,0.0001194,0.0002399,88.8,3,9,4.088,True,True,True,True,True,True
19.4,97,19.4,True,DESCENT,89.2,-5.01,6.91,9.67,22.6,0.0001194,0.0002399,88.8,3,9,4.088,True,True,True,True,True,True
19.6,98,19.6,True,DESCENT,88.1,-5.1,6.55,9.73,22.6,0.0001194,0.0002399,88.8,3,9,4.088,True,True,True,True,True,True
19.8,99,19.8,True,DESCENT,87.2,-4.95,5.95,9.77,22.6,0.0001194,0.0002399,88.8,3,9,4.088,True,True,True,True,True,True
20.0,100,20.0,True,DESCENT,86.1,-5.05,4.86,9.8,22.6,0.0001401,0.00027,82.4,3,9,4.082,True,True,True,True,True,True
20.2,101,20.2,True,DESCENT,85.1,-5.08,3.81,9.83,22.6,0.0001401,0.00027,82.4,3,9,4.082,True,True,True,True,True,True
20.4,102,20.4,True,DESCENT,84.1,-5.06,2.91,9.83,22.6,0.0001401,0.00027,82.4,3,9,4.082,True,True,True,True,True,True
20.6,103,20.6,True,DESCENT,83.1,-5.0,2.5,9.76,22.6,0.0001401,0.00027,82.4,3,9,4.082,True,True,True,True,True,True
20.8,104,20.8,True,DESCENT,82.1,-5.01,2.73,9.78,22.6,0.0001401,0.00027,82.4,3,9,4.082,True,True,True,True,True,True
21.0,105,21.0,True,DESCENT,81.2,-4.94,3.5,9.75,22.6,0.0001495,0.0002702,80.5,3,9,4.083,True,True,True,True,True,True
21.2,106,21.2,True,DESCENT,80.2,-4.9,4.67,9.85,22.6,0.0001495,0.0002702,80.5,3,9,4.083,True,True,True,True,True,True
21.4,107,21.4,True,DESCENT,79.2,-4.93,5.64,9.75,22.6,0.0001495,0.0002702,80.5,3,9,4.083,True,True,True,True,True,True
21.6,108,21.6,True,DESCENT,78.2,-4.93,6.42,9.71,22.6,0.0001495,0.0002702,80.5,3,9,4.083,True,True,True,True,True,True
21.8,109,21.8,True,DESCENT,77.3,-4.87,6.99,9.91,22.6,0.0001495,0.0002702,80.5,3,9,4.083,True,True,True,True,True,True
22.0,110,22.0,True,DESCENT,76.2,-4.99,6.84,9.79,22.6,0.0001472,0.0002981,77.1,3,9,4.083,True,True,True,True,True,True
22.2,111,22.2,True,DESCENT,75.2,-5.01,6.34,9.74,22.6,0.0001472,0.0002981,77.1,3,9,4.083,True,True,True,True,False,True
22.4,112,22.4,True,DESCENT,74.3,-4.92,5.38,9.71,22.6,0.0001472,0.0002981,77.1,3,9,4.083,True,True,True,True,False,True
22.6,113,22.6,True,DESCENT,73.2,-4.98,4.36,9.79,22.6,0.0001472,0.0002981,77.1,3,9,4.083,True,True,True,True,False,True
22.8,114,22.8,True,DESCENT,72.2,-4.96,3.29,9.78,22.6,0.0001472,0.0002981,77.1,3,9,4.083,True,True,True,True,False,True
23.0,115,23.0,True,DESCENT,71.2,-4.99,2.64,9.86,22.6,0.0001709,0.0003047,69.1,3,9,4.08,True,True,True,True,False,True
23.2,116,23.2,True,DESCENT,70.2,-5.07,2.63,9.83,22.6,0.0001709,0.0003047,69.1,3,9,4.08,True,True,True,True,False,True
23.4,117,23.4,True,DESCENT,69.2,-5.05,3.16,9.86,22.6,0.0001709,0.0003047,69.1,3,9,4.08,True,True,True,True,False,True
23.6,118,23.6,True,DESCENT,68.1,-5.09,4.12,9.81,22.6,0.0001709,0.0003047,69.1,3,9,4.08,True,True,True,True,False,True
23.8,119,23.8,True,DESCENT,67.1,-5.07,5.18,9.86,22.6,0.0001709,0.0003047,69.1,3,9,4.08,True,True,True,True,False,True
24.0,120,24.0,True,DESCENT,66.1,-5.05,6.19,9.84,22.6,0.0001713,0.0003313,66.9,3,9,4.079,True,True,True,True,False,True
24.2,121,24.2,True,DESCENT,65.1,-5.04,6.73,9.78,22.6,0.0001713,0.0003313,66.9,3,9,4.079,True,True,True,True,False,True
24.4,122,24.4,True,DESCENT,64.1,-5.06,6.93,9.79,22.6,0.0001713,0.0003313,66.9,3,9,4.079,True,True,True,True,False,True
24.6,123,24.6,True,DESCENT,63.2,-4.86,6.64,9.86,22.6,0.0001713,0.0003313,66.9,3,9,4.079,True,True,True,True,False,True
24.8,124,24.8,True,DESCENT,62.1,-5.02,5.96,9.82,22.6,0.0001713,0.0003313,66.9,3,9,4.079,True,True,True,True,False,True
25.0,125,25.0,True,DESCENT,61.2,-4.96,4.94,9.86,22.2,0.0001816,0.0003714,56.4,3,9,4.078,True,True,True,True,True,True
25.2,126,25.2,True,DESCENT,60.3,-4.8,3.77,9.71,22.2,0.0001816,0.0003714,56.4,3,9,4.078,True,True,True,True,True,True
25.4,127,25.4,True,DESCENT,59.3,-4.88,2.96,9.83,22.2,0.0001816,0.0003714,56.4,3,9,4.078,True,True,True,True,True,True
25.6,128,25.6,True,DESCENT,58.2,-4.98,2.54,9.78,22.2,0.0001816,0.0003714,56.4,3,9,4.078,True,True,True,True,True,True
25.8,129,25.8,True,DESCENT,57.2,-5.02,2.71,9.77,22.2,0.0001816,0.0003714,56.4,3,9,4.078,True,True,True,True,True,True
26.0,130,26.0,True,DESCENT,56.1,-5.23,3.49,9.82,22.23,0.0001906,0.0003884,51.5,3,9,4.077,True,True,True,True,True,True
26.2,131,26.2,True,DESCENT,55.1,-5.08,4.68,9.87,22.23,0.0001906,0.0003884,51.5,3,9,4.077,True,True,True,True,True,True
26.4,132,26.4,True,DESCENT,54.2,-4.97,5.68,9.84,22.23,0.0001906,0.0003884,51.5,3,9,4.077,True,True,True,True,True,True
26.6,133,26.6,True,DESCENT,53.2,-4.92,6.52,9.77,22.23,0.0001906,0.0003884,51.5,3,9,4.077,True,True,True,True,True,True
26.8,134,26.8,True,DESCENT,52.2,-4.98,6.94,9.88,22.23,0.0001906,0.0003884,51.5,3,9,4.077,True,True,True,True,True,True
27.0,135,27.0,True,DESCENT,51.2,-4.9,6.92,9.94,22.06,0.0001891,0.0004069,53.7,3,9,4.08,True,True,True,True,True,True
27.2,136,27.2,True,DESCENT,50.2,-4.95,6.29,9.73,22.06,0.0001891,0.0004069,53.7,3,9,4.08,True,True,True,True,True,True
27.4,137,27.4,True,DESCENT,49.2,-4.94,5.45,9.78,22.06,0.0001891,0.0004069,53.7,3,9,4.08,True,True,True,True,True,True
27.6,138,27.6,True,DESCENT,48.2,-5.03,4.46,9.91,22.06,0.0001891,0.0004069,53.7,3,9,4.08,True,True,True,True,True,True
27.8,139,27.8,True,DESCENT,47.1,-5.07,3.31,9.87,22.06,0.0001891,0.0004069,53.7,3,9,4.08,True,True,True,True,True,True
28.0,140,28.0,True,DESCENT,46.2,-5.01,2.68,9.81,22.05,0.0002003,0.000431,42.2,3,9,4.074,True,True,True,True,True,True
28.2,141,28.2,True,DESCENT,45.2,-5.02,2.53,9.76,22.05,0.0002003,0.000431,42.2,3,9,4.074,True,True,True,True,True,True
28.4,142,28.4,True,DESCENT,44.1,-5.05,3.1,9.8,22.05,0.0002003,0.000431,42.2,3,9,4.074,True,True,True,True,True,True
28.6,143,28.6,True,DESCENT,43.1,-5.0,4.08,9.77,22.05,0.0002003,0.000431,42.2,3,9,4.074,True,True,True,True,True,True
28.8,144,28.8,True,DESCENT,42.1,-5.01,5.06,9.71,22.05,0.0002003,0.000431,42.2,3,9,4.074,True,True,True,True,True,True
29.0,145,29.0,True,DESCENT,41.1,-5.01,6.11,9.74,21.94,0.0002134,0.0004376,42.1,3,9,4.076,True,True,True,True,True,True
29.2,146,29.2,True,DESCENT,40.2,-4.97,6.7,9.79,21.94,0.0002134,0.0004376,42.1,3,9,4.076,True,True,True,True,True,True
29.4,147,29.4,True,DESCENT,39.2,-4.97,6.86,9.79,21.94,0.0002134,0.0004376,42.1,3,9,4.076,True,True,True,True,True,True
29.6,148,29.6,True,DESCENT,38.2,-4.93,6.63,9.82,21.94,0.0002134,0.0004376,42.1,3,9,4.076,True,True,True,True,True,True
29.8,149,29.8,True,DESCENT,37.1,-5.05,5.98,9.87,21.94,0.0002134,0.0004376,42.1,3,9,4.076,True,True,True,True,True,True
30.0,150,30.0,True,DESCENT,36.2,-5.01,4.82,9.76,21.88,0.0002378,0.0004567,36.9,3,9,4.076,True,True,True,True,True,True
30.2,151,30.2,True,DESCENT,35.2,-5.0,3.81,9.77,21.88,0.0002378,0.0004567,36.9,3,9,4.076,True,True,True,True,True,True
30.4,152,30.4,True,DESCENT,34.1,-5.09,2.96,9.82,21.88,0.0002378,0.0004567,36.9,3,9,4.076,True,True,True,True,True,True
30.6,153,30.6,True,DESCENT,33.1,-5.02,2.59,9.87,21.88,0.0002378,0.0004567,36.9,3,9,4.076,True,True,True,True,True,True
30.8,154,30.8,True,DESCENT,32.1,-5.12,2.86,9.82,21.88,0.0002378,0.0004567,36.9,3,9,4.076,True,True,True,True,True,True
31.0,155,31.0,True,DESCENT,31.1,-5.03,3.51,9.73,21.92,0.0002174,0.0004602,27.5,3,9,4.075,True,True,True,True,True,True
31.2,156,31.2,True,DESCENT,30.1,-4.96,4.56,9.8,21.92,0.0002174,0.0004602,27.5,3,9,4.075,True,True,True,True,True,True
31.4,157,31.4,True,DESCENT,29.2,-4.94,5.66,9.77,21.92,0.0002174,0.0004602,27.5,3,9,4.075,True,True,True,True,True,True
31.6,158,31.6,True,DESCENT,28.2,-4.93,6.51,9.84,21.92,0.0002174,0.0004602,27.5,3,9,4.075,True,True,True,True,True,True
31.8,159,31.8,True,DESCENT,27.2,-4.99,6.89,9.77,21.92,0.0002174,0.0004602,27.5,3,9,4.075,True,True,True,True,True,True
32.0,160,32.0,True,DESCENT,26.1,-5.11,6.87,9.83,21.8,0.0002232,0.000497,25.3,3,9,4.074,True,True,True,True,True,True
32.2,161,32.2,True,DESCENT,25.1,-4.98,6.38,9.82,21.8,0.0002232,0.000497,25.3,3,9,4.074,True,True,True,True,True,True
32.4,162,32.4,True,DESCENT,24.1,-5.1,5.41,9.81,21.8,0.0002232,0.000497,25.3,3,9,4.074,True,True,True,True,True,True
32.6,163,32.6,True,DESCENT,23.1,-4.96,4.31,9.76,21.8,0.0002232,0.000497,25.3,3,9,4.074,True,True,True,True,True,True
32.8,164,32.8,True,DESCENT,22.2,-4.84,3.26,9.82,21.8,0.0002232,0.000497,25.3,3,9,4.074,True,True,True,True,True,True
33.0,165,33.0,True,DESCENT,21.2,-4.96,2.64,9.84,21.73,0.0002483,0.0005186,21.2,3,9,4.072,True,True,True,True,True,True
33.2,166,33.2,True,DESCENT,20.2,-4.86,2.55,9.73,21.73,0.0002483,0.0005186,21.2,3,9,4.072,True,True,True,True,True,True
33.4,167,33.4,True,DESCENT,19.2,-4.99,3.11,9.78,21.73,0.0002483,0.0005186,21.2,3,9,4.072,True,True,True,True,True,True
33.6,168,33.6,True,DESCENT,18.2,-4.99,4.08,9.82,21.73,0.0002483,0.0005186,21.2,3,9,4.072,True,True,True,True,True,True
33.8,169,33.8,True,DESCENT,17.2,-4.94,5.16,9.78,21.73,0.0002483,0.0005186,21.2,3,9,4.072,True,True,True,True,True,True
34.0,170,34.0,True,DESCENT,16.2,-4.94,6.2,9.8,21.77,0.0002574,0.0005351,11.6,3,9,4.073,True,True,True,True,True,True
34.2,171,34.2,True,DESCENT,15.2,-5.0,6.86,9.88,21.77,0.0002574,0.0005351,11.6,3,9,4.073,True,True,True,True,True,True
34.4,172,34.4,True,DESCENT,14.2,-5.01,6.93,9.8,21.77,0.0002574,0.0005351,11.6,3,9,4.073,True,True,True,True,True,True
34.6,173,34.6,True,DESCENT,13.2,-4.97,6.64,9.76,21.77,0.0002574,0.0005351,11.6,3,9,4.073,True,True,True,True,True,True
34.8,174,34.8,True,DESCENT,12.1,-5.09,5.97,9.88,21.77,0.0002574,0.0005351,11.6,3,9,4.073,True,True,True,True,True,True
35.0,175,35.0,True,DESCENT,11.1,-5.08,4.98,9.86,21.67,0.0002658,0.0005451,12.2,3,9,4.076,True,True,True,True,True,True
35.2,176,35.2,True,DESCENT,10.1,-5.08,3.92,9.88,21.67,0.0002658,0.0005451,12.2,3,9,4.076,True,True,True,True,True,True
35.4,177,35.4,True,DESCENT,9.1,-5.0,2.96,9.81,21.67,0.0002658,0.0005451,12.2,3,9,4.076,True,True,True,True,True,True
35.6,178,35.6,True,DESCENT,8.1,-5.03,2.55,9.77,21.67,0.0002658,0.0005451,12.2,3,9,4.076,True,True,True,True,True,True
35.8,179,35.8,True,DESCENT,7.2,-4.94,2.8,9.76,21.67,0.0002658,0.0005451,12.2,3,9,4.076,True,True,True,True,True,True
36.0,180,36.0,True,DESCENT,6.2,-4.93,3.53,9.73,21.51,0.0002734,0.0005515,5.3,3,9,4.069,True,True,True,True,True,True
36.2,181,36.2,True,DESCENT,5.2,-4.93,4.63,9.86,21.51,0.0002734,0.0005515,5.3,3,9,4.069,True,True,True,True,True,True
