seq,timestamp,data_source,flight_state,imu_accel_x,imu_accel_y,imu_accel_z,gyro_x,gyro_y,gyro_z,barometric_pressure,altitude,vertical_velocity,temperature,latitude,longitude,gps_altitude,gps_fix,gps_satellites,battery_voltage,separation_detected,quality_flags,crc16
20,0.400000,SYNTHETIC,PRELAUNCH,-0.047,-0.031,9.847,0.071,0.051,0.004,101324.9,-0.03,0.12,,,,,,,,0,0,6E2C
21,0.420000,SYNTHETIC,PRELAUNCH,-0.090,0.009,9.800,-0.038,-0.024,0.038,101328.0,-0.27,-0.04,,,,,,,,0,0,4CBC
22,0.440000,SYNTHETIC,PRELAUNCH,-0.044,-0.032,9.878,0.094,0.125,0.076,101321.9,0.23,0.13,,,,,,,,0,0,2FE3
23,0.460000,SYNTHETIC,PRELAUNCH,0.069,0.141,9.786,-0.036,-0.068,-0.034,101318.7,0.47,0.39,,,,,,,,0,0,B0C8
24,0.480000,SYNTHETIC,PRELAUNCH,0.046,-0.039,9.802,0.146,0.141,0.071,101322.2,0.17,0.44,,,,,,,,0,0,9114
25,0.500000,SYNTHETIC,PRELAUNCH,-0.019,0.140,9.823,0.090,-0.030,0.118,101321.3,0.24,0.50,,,,,,,,0,0,26B1
26,0.520000,SYNTHETIC,PRELAUNCH,0.003,0.038,9.806,-0.126,0.065,-0.049,101323.8,0.03,0.46,,,,,,,,0,0,712E
27,0.540000,SYNTHETIC,PRELAUNCH,-0.142,0.030,9.877,-0.115,0.056,-0.157,101324.3,-0.01,0.41,,,,,,,,0,0,BB1B
28,0.560000,SYNTHETIC,PRELAUNCH,0.007,-0.057,9.828,-0.052,-0.040,0.028,101325.4,-0.10,0.34,,,,,,,,0,0,A694
29,0.580000,SYNTHETIC,PRELAUNCH,0.039,-0.022,9.775,0.024,0.012,-0.060,101323.8,0.03,0.32,,,,,,,,0,0,DDCD
30,0.600000,SYNTHETIC,PRELAUNCH,-0.060,0.023,9.866,-0.049,0.165,-0.047,101325.2,-0.08,0.26,,,,,,,,0,0,EA8A
31,0.620000,SYNTHETIC,PRELAUNCH,-0.003,0.100,9.796,-0.075,-0.047,0.147,101332.0,-0.63,0.05,,,,,,,,0,0,09B6
32,0.640000,SYNTHETIC,PRELAUNCH,0.003,-0.053,9.739,0.026,0.063,-0.114,101322.3,0.17,0.10,,,,,,,,0,0,EA4C
33,0.660000,SYNTHETIC,PRELAUNCH,-0.015,-0.016,9.733,0.077,-0.093,-0.094,101325.4,-0.08,0.08,,,,,,,,0,0,97C1
34,0.680000,SYNTHETIC,PRELAUNCH,-0.059,-0.048,9.752,-0.030,-0.022,0.013,101329.3,-0.39,-0.02,,,,,,,,0,0,CA07
35,0.700000,SYNTHETIC,PRELAUNCH,0.083,0.003,9.749,-0.282,-0.024,-0.041,101316.2,0.68,0.15,,,,,,,,0,0,893C
36,0.720000,SYNTHETIC,PRELAUNCH,0.087,0.018,9.864,0.053,-0.153,-0.169,101322.4,0.16,0.17,,,,,,,,0,0,C087
37,0.740000,SYNTHETIC,PRELAUNCH,-0.096,0.010,9.778,0.005,-0.138,-0.008,101326.1,-0.15,0.13,,,,,,,,0,0,3555
38,0.760000,SYNTHETIC,PRELAUNCH,0.009,0.019,9.811,0.082,0.096,0.022,101326.6,-0.18,0.08,,,,,,,,0,0,B409
39,0.780000,SYNTHETIC,PRELAUNCH,0.033,0.119,9.810,0.082,-0.029,0.075,101328.0,-0.29,0.02,,,,,,,,0,0,4130
40,0.800000,SYNTHETIC,PRELAUNCH,0.023,-0.017,9.817,0.073,-0.226,0.063,101327.1,-0.21,-0.01,,,,,,,,0,0,828F
41,0.820000,SYNTHETIC,PRELAUNCH,0.080,0.011,9.826,-0.070,0.048,-0.031,101327.6,-0.25,-0.05,,,,,,,,0,0,334E
42,0.840000,SYNTHETIC,PRELAUNCH,-0.052,-0.004,9.802,0.009,-0.017,0.071,101327.5,-0.23,-0.08,,,,,,,,0,0,EA46
43,0.860000,SYNTHETIC,PRELAUNCH,-0.013,-0.012,9.809,-0.006,-0.098,-0.006,101324.0,0.06,-0.06,,,,,,,,0,0,C877
44,0.880000,SYNTHETIC,PRELAUNCH,0.029,0.090,9.719,-0.144,0.175,0.019,101324.5,0.01,-0.05,,,,,,,,0,0,1532
45,0.900000,SYNTHETIC,PRELAUNCH,-0.026,-0.044,9.811,0.222,-0.016,-0.046,101330.2,-0.45,-0.11,,,,,,,,0,0,424B
46,0.920000,SYNTHETIC,PRELAUNCH,-0.001,0.035,9.740,-0.208,-0.090,-0.055,101327.2,-0.20,-0.12,,,,,,,,0,0,63A4
47,0.940000,SYNTHETIC,PRELAUNCH,-0.086,-0.082,9.777,0.005,0.059,0.099,101322.8,0.17,-0.09,,,,,,,,0,0,9129
48,0.960000,SYNTHETIC,PRELAUNCH,0.016,0.068,9.919,-0.048,0.115,0.111,101320.6,0.34,-0.03,,,,,,,,0,0,8E36
49,0.980000,SYNTHETIC,PRELAUNCH,0.018,0.049,9.815,0.062,-0.040,0.142,101328.6,-0.32,-0.06,,,,,,,,0,0,11B6
50,1.000000,SYNTHETIC,PRELAUNCH,0.045,-0.118,9.769,-0.067,0.022,0.020,101326.5,-0.14,-0.07,23.97,,,,0,3,4.101,0,0,A523
51,1.020000,SYNTHETIC,PRELAUNCH,-0.011,0.032,9.831,-0.010,0.074,-0.112,101327.6,-0.23,-0.09,,,,,,,,0,0,429D
52,1.040000,SYNTHETIC,PRELAUNCH,0.055,0.041,9.760,-0.094,-0.114,0.019,101324.9,0.00,-0.08,,,,,,,,0,0,C395
53,1.060000,SYNTHETIC,PRELAUNCH,-0.076,-0.074,9.777,-0.057,-0.039,-0.168,101318.1,0.55,-0.01,,,,,,,,0,0,C4FD
54,1.080000,SYNTHETIC,PRELAUNCH,-0.016,0.031,9.737,0.066,0.100,-0.029,101322.4,0.19,0.01,,,,,,,,0,0,2812
55,1.100000,SYNTHETIC,PRELAUNCH,0.036,0.002,9.739,-0.084,-0.023,-0.031,101323.6,0.09,0.02,,,,,,,,0,0,1F64
56,1.120000,SYNTHETIC,PRELAUNCH,0.012,0.027,9.778,0.154,-0.043,-0.208,101327.6,-0.24,0.00,,,,,,,,0,0,DF48
57,1.140000,SYNTHETIC,PRELAUNCH,-0.017,-0.045,9.791,-0.078,-0.257,-0.042,101327.0,-0.19,-0.02,,,,,,,,0,0,99A4
58,1.160000,SYNTHETIC,PRELAUNCH,0.007,0.055,9.855,-0.138,0.223,0.026,101321.4,0.28,0.01,,,,,,,,0,0,EBB4
59,1.180000,SYNTHETIC,PRELAUNCH,0.019,-0.017,9.757,0.090,-0.047,-0.045,101325.3,-0.05,0.01,,,,,,,,0,0,7035
60,1.200000,SYNTHETIC,PRELAUNCH,-0.044,0.048,9.760,0.026,0.164,0.000,101326.8,-0.17,0.00,,,,,,,,0,0,EE8E
61,1.220000,SYNTHETIC,PRELAUNCH,-0.032,0.045,9.821,0.078,-0.171,0.020,101328.0,-0.27,-0.02,,,,,,,,0,0,355C
62,1.240000,SYNTHETIC,PRELAUNCH,-0.114,0.063,9.803,-0.223,0.058,-0.086,101318.1,0.55,0.03,,,,,,,,0,0,6B6F
63,1.260000,SYNTHETIC,PRELAUNCH,0.064,0.073,9.766,-0.062,0.143,0.053,101324.3,0.03,0.03,,,,,,,,0,0,C503
64,1.280000,SYNTHETIC,PRELAUNCH,0.059,-0.006,9.837,0.045,0.006,-0.089,101323.7,0.08,0.04,,,,,,,,0,0,88B1
65,1.300000,SYNTHETIC,PRELAUNCH,0.066,0.045,9.843,0.012,0.105,0.024,101322.8,0.15,0.05,,,,,,,,0,0,4950
66,1.320000,SYNTHETIC,PRELAUNCH,-0.008,0.025,9.778,-0.090,-0.042,-0.094,101324.3,0.03,0.05,,,,,,,,0,0,21F3
67,1.340000,SYNTHETIC,PRELAUNCH,0.088,0.046,9.845,0.021,-0.200,-0.041,101325.8,-0.09,0.04,,,,,,,,0,0,E174
68,1.360000,SYNTHETIC,PRELAUNCH,0.029,0.022,9.883,0.017,0.035,0.060,101323.0,0.14,0.05,,,,,,,,0,0,1439
69,1.380000,SYNTHETIC,PRELAUNCH,-0.031,0.056,9.914,-0.095,0.196,0.029,101328.6,-0.32,0.03,,,,,,,,0,0,25F7
70,1.400000,SYNTHETIC,PRELAUNCH,0.046,0.013,9.759,0.123,0.123,-0.076,101323.3,0.12,0.04,,,,,,,,0,0,219B
71,1.420000,SYNTHETIC,PRELAUNCH,-0.017,-0.017,9.770,-0.079,-0.029,0.032,101321.9,0.23,0.05,,,,,,,,0,0,1FA9
72,1.440000,SYNTHETIC,PRELAUNCH,-0.014,-0.067,9.760,0.100,-0.071,-0.045,101326.4,-0.14,0.04,,,,,,,,0,0,69B7
73,1.460000,SYNTHETIC,PRELAUNCH,-0.039,0.092,9.714,0.001,-0.036,-0.035,101325.9,-0.10,0.03,,,,,,,,0,0,E27B
74,1.480000,SYNTHETIC,PRELAUNCH,0.050,0.019,9.868,-0.080,0.057,-0.075,101325.3,-0.05,0.03,,,,,,,,0,0,9BAD
75,1.500000,SYNTHETIC,PRELAUNCH,0.086,0.026,9.788,0.232,-0.132,0.053,101321.9,0.23,0.04,,,,,,,,0,0,7A50
76,1.520000,SYNTHETIC,PRELAUNCH,0.038,-0.066,9.777,-0.077,0.250,-0.013,101322.9,0.14,0.05,,,,,,,,0,0,F0C1
77,1.540000,SYNTHETIC,PRELAUNCH,-0.033,0.048,9.843,-0.036,-0.144,-0.070,101326.0,-0.11,0.04,,,,,,,,0,0,3E94
78,1.560000,SYNTHETIC,PRELAUNCH,-0.015,0.045,9.854,0.162,0.176,-0.024,101322.0,0.22,0.05,,,,,,,,0,0,E31D
79,1.580000,SYNTHETIC,PRELAUNCH,-0.027,0.032,9.803,0.018,-0.067,-0.020,101331.2,-0.54,0.02,,,,,,,,0,0,DEB9
80,1.600000,SYNTHETIC,PRELAUNCH,0.092,-0.064,9.929,-0.169,-0.096,-0.103,101325.5,-0.07,0.02,,,,,,,,0,0,DCD3
81,1.620000,SYNTHETIC,PRELAUNCH,-0.090,0.143,9.829,-0.029,-0.057,-0.048,101322.0,0.22,0.03,,,,,,,,0,0,5A21
82,1.640000,SYNTHETIC,PRELAUNCH,0.044,0.032,9.825,-0.100,0.043,0.021,101322.6,0.17,0.04,,,,,,,,0,0,07BC
83,1.660000,SYNTHETIC,PRELAUNCH,0.042,0.018,9.776,-0.194,-0.151,0.025,101329.7,-0.42,0.02,,,,,,,,0,0,5ECB
84,1.680000,SYNTHETIC,PRELAUNCH,0.006,-0.016,9.810,-0.056,-0.041,0.043,101329.0,-0.35,0.00,,,,,,,,0,0,1A55
85,1.700000,SYNTHETIC,PRELAUNCH,-0.007,0.061,9.804,-0.031,-0.050,0.336,101326.4,-0.13,0.00,,,,,,,,0,0,47C8
86,1.720000,SYNTHETIC,PRELAUNCH,0.045,0.009,9.838,0.010,-0.020,0.075,101324.6,0.01,0.00,,,,,,,,0,0,0AF1
87,1.740000,SYNTHETIC,PRELAUNCH,0.024,0.050,9.743,-0.051,0.043,-0.123,101325.6,-0.07,0.00,,,,,,,,0,0,D7B0
88,1.760000,SYNTHETIC,PRELAUNCH,-0.042,-0.044,9.774,-0.055,0.068,0.001,101328.8,-0.33,-0.02,,,,,,,,0,0,0AC4
89,1.780000,SYNTHETIC,PRELAUNCH,0.053,-0.137,9.754,0.014,0.035,-0.041,101324.3,0.04,-0.01,,,,,,,,0,0,A129
90,1.800000,SYNTHETIC,PRELAUNCH,-0.087,-0.010,9.763,0.117,-0.175,0.030,101324.7,0.01,-0.01,,,,,,,,0,0,867F
91,1.820000,SYNTHETIC,PRELAUNCH,-0.053,-0.027,9.807,-0.100,0.167,0.115,101327.1,-0.19,-0.02,,,,,,,,0,0,FB83
92,1.840000,SYNTHETIC,PRELAUNCH,0.094,-0.012,9.798,-0.078,0.052,0.051,101325.5,-0.05,-0.02,,,,,,,,0,0,6FE6
93,1.860000,SYNTHETIC,PRELAUNCH,-0.001,-0.004,9.881,0.145,-0.019,-0.024,101324.1,0.06,-0.01,,,,,,,,0,0,185C
94,1.880000,SYNTHETIC,PRELAUNCH,-0.026,0.053,9.752,-0.067,-0.062,0.035,101322.0,0.23,0.00,,,,,,,,0,0,FE43
95,1.900000,SYNTHETIC,PRELAUNCH,0.000,-0.015,9.843,-0.254,-0.106,0.006,101326.1,-0.11,-0.01,,,,,,,,0,0,B546
96,1.920000,SYNTHETIC,PRELAUNCH,0.060,0.068,9.874,0.099,0.120,-0.039,101326.5,-0.14,-0.01,,,,,,,,0,0,30AC
97,1.940000,SYNTHETIC,PRELAUNCH,0.003,0.032,9.853,0.047,-0.090,0.067,101324.2,0.05,-0.01,,,,,,,,0,0,C275
98,1.960000,SYNTHETIC,PRELAUNCH,0.073,0.031,9.789,0.051,0.000,-0.040,101323.8,0.09,0.00,,,,,,,,0,0,F97D
99,1.980000,SYNTHETIC,PRELAUNCH,-0.084,-0.037,9.766,0.022,-0.035,0.105,101327.4,-0.21,-0.01,,,,,,,,0,0,22D6
100,2.000000,SYNTHETIC,PRELAUNCH,0.010,0.011,,0.088,0.008,-0.090,101324.2,0.06,-0.01,23.85,-0.0000263,0.0000240,2.4,3,9,4.105,0,1,8562
101,2.020000,SYNTHETIC,PRELAUNCH,0.064,-0.098,9.808,0.026,0.166,0.002,101323.7,0.10,0.00,,,,,,,,0,0,70A1
102,2.040000,SYNTHETIC,PRELAUNCH,-0.052,-0.049,9.887,0.074,0.011,0.080,101325.5,-0.05,0.00,,,,,,,,0,0,649C
103,2.060000,SYNTHETIC,PRELAUNCH,-0.001,-0.006,9.831,-0.131,-0.068,-0.113,101324.0,0.08,0.00,,,,,,,,0,0,F439
104,2.080000,SYNTHETIC,PRELAUNCH,-0.076,0.021,9.813,-0.090,0.060,-0.107,101327.0,-0.17,0.00,,,,,,,,0,0,49F6
105,2.100000,SYNTHETIC,PRELAUNCH,0.065,-0.035,9.844,-0.019,0.024,-0.033,101323.4,0.13,0.01,,,,,,,,0,0,D7C2
106,2.120000,SYNTHETIC,PRELAUNCH,-0.019,0.027,9.827,0.004,-0.023,0.043,101322.0,0.24,0.02,,,,,,,,0,0,9066
107,2.140000,SYNTHETIC,PRELAUNCH,-0.013,-0.110,9.708,-0.170,0.045,-0.001,101322.6,0.18,0.02,,,,,,,,0,0,4956
108,2.160000,SYNTHETIC,PRELAUNCH,-0.006,0.079,9.691,0.107,0.009,0.061,101322.9,0.16,0.03,,,,,,,,0,0,9D01
109,2.180000,SYNTHETIC,PRELAUNCH,0.088,-0.036,9.746,0.151,0.016,0.021,101325.8,-0.08,0.02,,,,,,,,0,0,1D3D
110,2.200000,SYNTHETIC,PRELAUNCH,-0.033,-0.069,9.824,-0.212,0.006,0.068,101327.9,-0.25,0.01,,,,,,,,0,0,FEF0
111,2.220000,SYNTHETIC,PRELAUNCH,0.035,-0.070,9.820,-0.005,0.098,0.116,101319.7,0.42,0.03,,,,,,,,0,0,36E2
112,2.240000,SYNTHETIC,PRELAUNCH,-0.033,0.047,9.790,-0.082,-0.050,0.077,101321.8,0.25,0.04,,,,,,,,0,0,0D2A
113,2.260000,SYNTHETIC,PRELAUNCH,0.044,0.001,9.872,-0.060,-0.081,0.047,101325.9,-0.09,0.03,,,,,,,,0,0,8BB5
114,2.280000,SYNTHETIC,PRELAUNCH,-0.088,0.077,9.853,0.040,-0.110,-0.134,101324.1,0.06,0.04,,,,,,,,0,0,8F29
115,2.300000,SYNTHETIC,PRELAUNCH,0.083,-0.027,9.780,-0.217,0.210,-0.031,101328.2,-0.28,0.03,,,,,,,,0,0,9B21
116,2.320000,SYNTHETIC,PRELAUNCH,0.006,0.023,9.801,-0.044,-0.028,0.066,101324.6,0.02,0.03,,,,,,,,0,0,35BB
117,2.340000,SYNTHETIC,PRELAUNCH,-0.077,-0.069,9.844,0.070,-0.047,-0.002,101326.7,-0.15,0.02,,,,,,,,0,0,777E
118,2.360000,SYNTHETIC,PRELAUNCH,-0.048,-0.089,9.833,-0.066,0.148,0.017,101321.5,0.28,0.03,,,,,,,,0,0,7843
119,2.380000,SYNTHETIC,PRELAUNCH,0.060,-0.038,9.831,-0.110,0.165,0.119,101321.4,0.28,0.04,,,,,,,,0,0,2FC7
120,2.400000,SYNTHETIC,PRELAUNCH,0.008,-0.033,9.819,0.119,0.105,-0.131,101323.6,0.10,0.04,,,,,,,,0,0,6C54
121,2.420000,SYNTHETIC,PRELAUNCH,-0.037,-0.062,9.853,-0.032,0.041,0.097,101328.3,-0.29,0.03,,,,,,,,0,0,FBA1
122,2.440000,SYNTHETIC,PRELAUNCH,-0.037,0.060,9.860,-0.001,-0.103,-0.021,101318.7,0.50,0.05,,,,,,,,0,0,A1F3
123,2.460000,SYNTHETIC,PRELAUNCH,-0.034,-0.030,9.842,-0.078,-0.072,-0.012,101327.4,-0.21,0.04,,,,,,,,0,0,B5D9
124,2.480000,SYNTHETIC,PRELAUNCH,-0.042,0.059,9.751,0.114,-0.074,0.016,101321.2,0.30,0.05,,,,,,,,0,0,F98F
125,2.500000,SYNTHETIC,PRELAUNCH,0.019,-0.107,9.786,-0.038,0.200,-0.043,101323.8,0.09,0.05,,,,,,,,0,0,C976
126,2.520000,SYNTHETIC,PRELAUNCH,-0.048,0.008,9.828,0.118,0.084,-0.042,101324.6,0.02,0.05,,,,,,,,0,0,E658
127,2.540000,SYNTHETIC,PRELAUNCH,-0.079,-0.111,9.824,-0.070,-0.048,-0.125,101327.8,-0.24,0.04,,,,,,,,0,0,C320
128,2.560000,SYNTHETIC,PRELAUNCH,-0.017,-0.050,9.920,0.067,0.026,0.229,101331.5,-0.55,0.02,,,,,,,,0,0,C692
129,2.580000,SYNTHETIC,PRELAUNCH,-0.090,0.004,9.826,0.115,0.209,0.044,101327.6,-0.22,0.02,,,,,,,,0,0,490F
130,2.600000,SYNTHETIC,PRELAUNCH,0.003,0.089,9.773,-0.031,-0.038,0.016,101328.0,-0.25,0.01,,,,,,,,0,0,BA04
131,2.620000,SYNTHETIC,PRELAUNCH,-0.082,-0.001,9.727,-0.088,0.054,0.150,101323.7,0.10,0.01,,,,,,,,0,0,D932
132,2.640000,SYNTHETIC,PRELAUNCH,0.007,0.005,9.802,-0.041,0.149,0.223,101327.1,-0.18,0.00,,,,,,,,0,0,8CCB
133,2.660000,SYNTHETIC,PRELAUNCH,0.024,0.001,9.683,-0.118,-0.194,0.144,101324.0,0.08,0.00,,,,,,,,0,0,E4AD
134,2.680000,SYNTHETIC,PRELAUNCH,0.146,-0.034,9.811,-0.117,-0.137,-0.062,101326.5,-0.13,0.00,,,,,,,,0,0,9494
135,2.700000,SYNTHETIC,PRELAUNCH,-0.028,-0.012,9.808,0.207,-0.101,-0.021,101330.6,-0.46,-0.02,,,,,,,,0,0,21FD
136,2.720000,SYNTHETIC,PRELAUNCH,-0.042,-0.069,9.846,0.011,0.029,0.016,101322.9,0.18,-0.01,,,,,,,,0,0,8234
137,2.740000,SYNTHETIC,PRELAUNCH,0.030,0.006,9.778,-0.177,0.008,0.017,101326.3,-0.10,-0.01,,,,,,,,0,0,6F0E
138,2.760000,SYNTHETIC,PRELAUNCH,0.017,0.078,9.801,-0.008,-0.113,0.076,101327.0,-0.16,-0.02,,,,,,,,0,0,C16E
139,2.780000,SYNTHETIC,PRELAUNCH,0.055,-0.032,9.831,0.062,0.038,0.114,101321.6,0.28,-0.01,,,,,,,,0,0,58BB
140,2.800000,SYNTHETIC,PRELAUNCH,-0.054,-0.019,9.868,0.044,-0.009,-0.116,101331.3,-0.52,-0.02,,,,,,,,0,0,D86B
141,2.820000,SYNTHETIC,PRELAUNCH,-0.015,0.036,9.871,-0.004,-0.016,-0.109,101322.6,0.20,-0.01,,,,,,,,0,0,4587
142,2.840000,SYNTHETIC,PRELAUNCH,0.006,-0.078,9.820,0.183,-0.125,-0.035,101320.3,0.39,0.00,,,,,,,,0,0,12EA
143,2.860000,SYNTHETIC,PRELAUNCH,-0.002,0.094,9.793,0.019,0.227,0.090,101322.2,0.23,0.01,,,,,,,,0,0,5D4A
144,2.880000,SYNTHETIC,PRELAUNCH,0.020,0.006,9.736,0.131,-0.196,0.105,101322.4,0.21,0.02,,,,,,,,0,0,4EFA
145,2.900000,SYNTHETIC,PRELAUNCH,-0.070,0.022,9.848,0.095,-0.238,0.066,101324.0,0.07,0.02,,,,,,,,0,0,819B
146,2.920000,SYNTHETIC,PRELAUNCH,0.012,0.019,9.793,-0.044,-0.183,0.045,101324.1,0.06,0.02,,,,,,,,0,0,6FF4
147,2.940000,SYNTHETIC,PRELAUNCH,0.123,-0.105,9.841,0.046,-0.164,0.003,101327.4,-0.21,0.01,,,,,,,,0,0,A707
148,2.960000,SYNTHETIC,PRELAUNCH,0.007,0.018,9.733,0.020,-0.007,-0.040,101322.2,0.22,0.02,,,,,,,,0,0,41D9
149,2.980000,SYNTHETIC,PRELAUNCH,-0.011,-0.051,9.816,0.086,-0.192,-0.068,101320.7,0.34,0.03,,,,,,,,0,0,FBFE
150,3.000000,SYNTHETIC,PRELAUNCH,-0.007,0.011,9.822,-0.077,0.001,-0.009,101325.9,-0.09,0.03,23.82,0.0000010,0.0000012,3.3,3,9,4.103,0,0,2AD2
151,3.020000,SYNTHETIC,PRELAUNCH,0.011,0.082,9.879,0.056,-0.061,-0.218,101325.4,-0.05,0.03,,,,,,,,0,0,3165
152,3.040000,SYNTHETIC,PRELAUNCH,-0.052,0.039,9.841,-0.028,0.055,0.077,101331.4,-0.55,0.01,,,,,,,,0,0,F642
153,3.060000,SYNTHETIC,PRELAUNCH,0.015,0.088,9.816,0.069,0.142,-0.128,101324.6,0.02,0.01,,,,,,,,0,0,27A5
154,3.080000,SYNTHETIC,PRELAUNCH,0.072,-0.050,9.830,-0.019,0.053,0.193,101330.0,-0.42,0.00,,,,,,,,0,0,5F95
155,3.100000,SYNTHETIC,PRELAUNCH,-0.077,0.003,9.762,0.124,-0.069,-0.051,101330.3,-0.44,-0.02,,,,,,,,0,0,0B50
156,3.120000,SYNTHETIC,PRELAUNCH,-0.095,0.100,9.772,-0.031,-0.073,0.021,101323.5,0.12,-0.01,,,,,,,,0,0,D194
157,3.140000,SYNTHETIC,PRELAUNCH,0.038,0.011,9.755,-0.018,-0.126,0.017,101328.2,-0.27,-0.02,,,,,,,,0,0,1BEE
158,3.160000,SYNTHETIC,PRELAUNCH,0.023,-0.099,9.809,-0.008,-0.057,-0.108,101322.5,0.21,-0.02,,,,,,,,0,0,0F5A
159,3.180000,SYNTHETIC,PRELAUNCH,0.055,0.043,9.795,-0.005,0.014,-0.146,101325.5,-0.04,-0.02,,,,,,,,0,0,58DA
160,3.200000,SYNTHETIC,PRELAUNCH,-0.002,-0.066,9.790,0.082,0.015,-0.004,101326.6,-0.13,-0.02,,,,,,,,0,0,1036
161,3.220000,SYNTHETIC,PRELAUNCH,-0.074,-0.029,9.811,0.027,0.126,-0.044,101326.3,-0.11,-0.02,,,,,,,,0,0,396A
162,3.240000,SYNTHETIC,PRELAUNCH,0.046,-0.002,9.821,0.032,-0.071,-0.086,101326.8,-0.14,-0.03,,,,,,,,0,0,90D9
163,3.260000,SYNTHETIC,PRELAUNCH,-0.037,-0.012,9.868,-0.009,0.049,-0.063,101329.9,-0.40,-0.04,,,,,,,,0,0,0573
164,3.280000,SYNTHETIC,PRELAUNCH,-0.055,-0.046,9.779,-0.137,-0.075,-0.133,101327.0,-0.15,-0.04,,,,,,,,0,0,6A76
165,3.300000,SYNTHETIC,PRELAUNCH,0.011,-0.009,9.816,-0.001,0.134,0.090,101325.0,0.02,-0.04,,,,,,,,0,0,8401
166,3.320000,SYNTHETIC,PRELAUNCH,0.014,-0.028,9.875,0.211,-0.092,-0.110,101325.7,-0.04,-0.03,,,,,,,,0,0,7617
167,3.340000,SYNTHETIC,PRELAUNCH,-0.044,0.053,9.797,0.051,0.001,-0.148,101329.1,-0.32,-0.04,,,,,,,,0,0,88A3
168,3.360000,SYNTHETIC,PRELAUNCH,0.076,-0.014,9.776,-0.075,-0.299,0.059,101327.8,-0.21,-0.05,,,,,,,,0,0,0470
169,3.380000,SYNTHETIC,PRELAUNCH,0.022,-0.050,9.806,0.148,-0.124,-0.016,101331.3,-0.50,-0.06,,,,,,,,0,0,1FC6
