timestamp,data_source,imu_accel_x,imu_accel_y,imu_accel_z,gyro_x,gyro_y,gyro_z,barometric_pressure,latitude,longitude,gps_altitude,gps_fix,gps_satellites,temperature,battery_voltage,separation_detected
1.000,SYNTHETIC,0.045,-0.118,9.769,-0.067,0.022,0.020,101326.5,,,,0,3,23.97,4.101,0
1.020,SYNTHETIC,-0.011,0.032,9.831,-0.010,0.074,-0.112,101327.6,,,,,,,,0
1.040,SYNTHETIC,0.055,0.041,9.760,-0.094,-0.114,0.019,101324.9,,,,,,,,0
1.060,SYNTHETIC,-0.076,-0.074,9.777,-0.057,-0.039,-0.168,101318.1,,,,,,,,0
1.080,SYNTHETIC,-0.016,0.031,9.737,0.066,0.100,-0.029,101322.4,,,,,,,,0
1.100,SYNTHETIC,0.036,0.002,9.739,-0.084,-0.023,-0.031,101323.6,,,,,,,,0
1.120,SYNTHETIC,0.012,0.027,9.778,0.154,-0.043,-0.208,101327.6,,,,,,,,0
1.140,SYNTHETIC,-0.017,-0.045,9.791,-0.078,-0.257,-0.042,101327.0,,,,,,,,0
1.160,SYNTHETIC,0.007,0.055,9.855,-0.138,0.223,0.026,101321.4,,,,,,,,0
1.180,SYNTHETIC,0.019,-0.017,9.757,0.090,-0.047,-0.045,101325.3,,,,,,,,0
1.200,SYNTHETIC,-0.044,0.048,9.760,0.026,0.164,0.000,101326.8,,,,,,,,0
1.220,SYNTHETIC,-0.032,0.045,9.821,0.078,-0.171,0.020,101328.0,,,,,,,,0
1.240,SYNTHETIC,-0.114,0.063,9.803,-0.223,0.058,-0.086,101318.1,,,,,,,,0
1.260,SYNTHETIC,0.064,0.073,9.766,-0.062,0.143,0.053,101324.3,,,,,,,,0
1.280,SYNTHETIC,0.059,-0.006,9.837,0.045,0.006,-0.089,101323.7,,,,,,,,0
1.300,SYNTHETIC,0.066,0.045,9.843,0.012,0.105,0.024,101322.8,,,,,,,,0
1.320,SYNTHETIC,-0.008,0.025,9.778,-0.090,-0.042,-0.094,101324.3,,,,,,,,0
1.340,SYNTHETIC,0.088,0.046,9.845,0.021,-0.200,-0.041,101325.8,,,,,,,,0
1.360,SYNTHETIC,0.029,0.022,9.883,0.017,0.035,0.060,101323.0,,,,,,,,0
1.380,SYNTHETIC,-0.031,0.056,9.914,-0.095,0.196,0.029,101328.6,,,,,,,,0
1.400,SYNTHETIC,0.046,0.013,9.759,0.123,0.123,-0.076,101323.3,,,,,,,,0
1.420,SYNTHETIC,-0.017,-0.017,9.770,-0.079,-0.029,0.032,101321.9,,,,,,,,0
1.440,SYNTHETIC,-0.014,-0.067,9.760,0.100,-0.071,-0.045,101326.4,,,,,,,,0
1.460,SYNTHETIC,-0.039,0.092,9.714,0.001,-0.036,-0.035,101325.9,,,,,,,,0
1.480,SYNTHETIC,0.050,0.019,9.868,-0.080,0.057,-0.075,101325.3,,,,,,,,0
1.500,SYNTHETIC,0.086,0.026,9.788,0.232,-0.132,0.053,101321.9,,,,,,,,0
1.520,SYNTHETIC,0.038,-0.066,9.777,-0.077,0.250,-0.013,101322.9,,,,,,,,0
1.540,SYNTHETIC,-0.033,0.048,9.843,-0.036,-0.144,-0.070,101326.0,,,,,,,,0
1.560,SYNTHETIC,-0.015,0.045,9.854,0.162,0.176,-0.024,101322.0,,,,,,,,0
1.580,SYNTHETIC,-0.027,0.032,9.803,0.018,-0.067,-0.020,101331.2,,,,,,,,0
1.600,SYNTHETIC,0.092,-0.064,9.929,-0.169,-0.096,-0.103,101325.5,,,,,,,,0
1.620,SYNTHETIC,-0.090,0.143,9.829,-0.029,-0.057,-0.048,101322.0,,,,,,,,0
1.640,SYNTHETIC,0.044,0.032,9.825,-0.100,0.043,0.021,101322.6,,,,,,,,0
1.660,SYNTHETIC,0.042,0.018,9.776,-0.194,-0.151,0.025,101329.7,,,,,,,,0
1.680,SYNTHETIC,0.006,-0.016,9.810,-0.056,-0.041,0.043,101329.0,,,,,,,,0
1.700,SYNTHETIC,-0.007,0.061,9.804,-0.031,-0.050,0.336,101326.4,,,,,,,,0
1.720,SYNTHETIC,0.045,0.009,9.838,0.010,-0.020,0.075,101324.6,,,,,,,,0
1.740,SYNTHETIC,0.024,0.050,9.743,-0.051,0.043,-0.123,101325.6,,,,,,,,0
1.760,SYNTHETIC,-0.042,-0.044,9.774,-0.055,0.068,0.001,101328.8,,,,,,,,0
1.780,SYNTHETIC,0.053,-0.137,9.754,0.014,0.035,-0.041,101324.3,,,,,,,,0
1.800,SYNTHETIC,-0.087,-0.010,9.763,0.117,-0.175,0.030,101324.7,,,,,,,,0
1.820,SYNTHETIC,-0.053,-0.027,9.807,-0.100,0.167,0.115,101327.1,,,,,,,,0
1.840,SYNTHETIC,0.094,-0.012,9.798,-0.078,0.052,0.051,101325.5,,,,,,,,0
1.860,SYNTHETIC,-0.001,-0.004,9.881,0.145,-0.019,-0.024,101324.1,,,,,,,,0
1.880,SYNTHETIC,-0.026,0.053,9.752,-0.067,-0.062,0.035,101322.0,,,,,,,,0
1.900,SYNTHETIC,0.000,-0.015,9.843,-0.254,-0.106,0.006,101326.1,,,,,,,,0
1.920,SYNTHETIC,0.060,0.068,9.874,0.099,0.120,-0.039,101326.5,,,,,,,,0
1.940,SYNTHETIC,0.003,0.032,9.853,0.047,-0.090,0.067,101324.2,,,,,,,,0
1.960,SYNTHETIC,0.073,0.031,9.789,0.051,0.000,-0.040,101323.8,,,,,,,,0
1.980,SYNTHETIC,-0.084,-0.037,9.766,0.022,-0.035,0.105,101327.4,,,,,,,,0
2.000,SYNTHETIC,0.010,0.011,nan,0.088,0.008,-0.090,101324.2,-0.0000263,0.0000240,2.4,3,9,23.85,4.105,0
2.020,SYNTHETIC,0.064,-0.098,9.808,0.026,0.166,0.002,101323.7,,,,,,,,0
2.040,SYNTHETIC,-0.052,-0.049,9.887,0.074,0.011,0.080,101325.5,,,,,,,,0
2.060,SYNTHETIC,-0.001,-0.006,9.831,-0.131,-0.068,-0.113,101324.0,,,,,,,,0
2.080,SYNTHETIC,-0.076,0.021,9.813,-0.090,0.060,-0.107,101327.0,,,,,,,,0
2.100,SYNTHETIC,0.065,-0.035,9.844,-0.019,0.024,-0.033,101323.4,,,,,,,,0
2.120,SYNTHETIC,-0.019,0.027,9.827,0.004,-0.023,0.043,101322.0,,,,,,,,0
2.140,SYNTHETIC,-0.013,-0.110,9.708,-0.170,0.045,-0.001,101322.6,,,,,,,,0
2.160,SYNTHETIC,-0.006,0.079,9.691,0.107,0.009,0.061,101322.9,,,,,,,,0
2.180,SYNTHETIC,0.088,-0.036,9.746,0.151,0.016,0.021,101325.8,,,,,,,,0
2.200,SYNTHETIC,-0.033,-0.069,9.824,-0.212,0.006,0.068,101327.9,,,,,,,,0
2.220,SYNTHETIC,0.035,-0.070,9.820,-0.005,0.098,0.116,101319.7,,,,,,,,0
2.240,SYNTHETIC,-0.033,0.047,9.790,-0.082,-0.050,0.077,101321.8,,,,,,,,0
2.260,SYNTHETIC,0.044,0.001,9.872,-0.060,-0.081,0.047,101325.9,,,,,,,,0
2.280,SYNTHETIC,-0.088,0.077,9.853,0.040,-0.110,-0.134,101324.1,,,,,,,,0
2.300,SYNTHETIC,0.083,-0.027,9.780,-0.217,0.210,-0.031,101328.2,,,,,,,,0
2.320,SYNTHETIC,0.006,0.023,9.801,-0.044,-0.028,0.066,101324.6,,,,,,,,0
2.340,SYNTHETIC,-0.077,-0.069,9.844,0.070,-0.047,-0.002,101326.7,,,,,,,,0
2.360,SYNTHETIC,-0.048,-0.089,9.833,-0.066,0.148,0.017,101321.5,,,,,,,,0
2.380,SYNTHETIC,0.060,-0.038,9.831,-0.110,0.165,0.119,101321.4,,,,,,,,0
2.400,SYNTHETIC,0.008,-0.033,9.819,0.119,0.105,-0.131,101323.6,,,,,,,,0
2.420,SYNTHETIC,-0.037,-0.062,9.853,-0.032,0.041,0.097,101328.3,,,,,,,,0
2.440,SYNTHETIC,-0.037,0.060,9.860,-0.001,-0.103,-0.021,101318.7,,,,,,,,0
2.460,SYNTHETIC,-0.034,-0.030,9.842,-0.078,-0.072,-0.012,101327.4,,,,,,,,0
2.480,SYNTHETIC,-0.042,0.059,9.751,0.114,-0.074,0.016,101321.2,,,,,,,,0
2.500,SYNTHETIC,0.019,-0.107,9.786,-0.038,0.200,-0.043,101323.8,,,,,,,,0
2.520,SYNTHETIC,-0.048,0.008,9.828,0.118,0.084,-0.042,101324.6,,,,,,,,0
2.540,SYNTHETIC,-0.079,-0.111,9.824,-0.070,-0.048,-0.125,101327.8,,,,,,,,0
2.560,SYNTHETIC,-0.017,-0.050,9.920,0.067,0.026,0.229,101331.5,,,,,,,,0
2.580,SYNTHETIC,-0.090,0.004,9.826,0.115,0.209,0.044,101327.6,,,,,,,,0
2.600,SYNTHETIC,0.003,0.089,9.773,-0.031,-0.038,0.016,101328.0,,,,,,,,0
2.620,SYNTHETIC,-0.082,-0.001,9.727,-0.088,0.054,0.150,101323.7,,,,,,,,0
2.640,SYNTHETIC,0.007,0.005,9.802,-0.041,0.149,0.223,101327.1,,,,,,,,0
2.660,SYNTHETIC,0.024,0.001,9.683,-0.118,-0.194,0.144,101324.0,,,,,,,,0
2.680,SYNTHETIC,0.146,-0.034,9.811,-0.117,-0.137,-0.062,101326.5,,,,,,,,0
2.700,SYNTHETIC,-0.028,-0.012,9.808,0.207,-0.101,-0.021,101330.6,,,,,,,,0
2.720,SYNTHETIC,-0.042,-0.069,9.846,0.011,0.029,0.016,101322.9,,,,,,,,0
2.740,SYNTHETIC,0.030,0.006,9.778,-0.177,0.008,0.017,101326.3,,,,,,,,0
2.760,SYNTHETIC,0.017,0.078,9.801,-0.008,-0.113,0.076,101327.0,,,,,,,,0
2.780,SYNTHETIC,0.055,-0.032,9.831,0.062,0.038,0.114,101321.6,,,,,,,,0
2.800,SYNTHETIC,-0.054,-0.019,9.868,0.044,-0.009,-0.116,101331.3,,,,,,,,0
2.820,SYNTHETIC,-0.015,0.036,9.871,-0.004,-0.016,-0.109,101322.6,,,,,,,,0
2.840,SYNTHETIC,0.006,-0.078,9.820,0.183,-0.125,-0.035,101320.3,,,,,,,,0
2.860,SYNTHETIC,-0.002,0.094,9.793,0.019,0.227,0.090,101322.2,,,,,,,,0
2.880,SYNTHETIC,0.020,0.006,9.736,0.131,-0.196,0.105,101322.4,,,,,,,,0
2.900,SYNTHETIC,-0.070,0.022,9.848,0.095,-0.238,0.066,101324.0,,,,,,,,0
2.920,SYNTHETIC,0.012,0.019,9.793,-0.044,-0.183,0.045,101324.1,,,,,,,,0
2.940,SYNTHETIC,0.123,-0.105,9.841,0.046,-0.164,0.003,101327.4,,,,,,,,0
2.960,SYNTHETIC,0.007,0.018,9.733,0.020,-0.007,-0.040,101322.2,,,,,,,,0
2.980,SYNTHETIC,-0.011,-0.051,9.816,0.086,-0.192,-0.068,101320.7,,,,,,,,0
3.000,SYNTHETIC,-0.007,0.011,9.822,-0.077,0.001,-0.009,101325.9,0.0000010,0.0000012,3.3,3,9,23.82,4.103,0
3.020,SYNTHETIC,0.011,0.082,9.879,0.056,-0.061,-0.218,101325.4,,,,,,,,0
3.040,SYNTHETIC,-0.052,0.039,9.841,-0.028,0.055,0.077,101331.4,,,,,,,,0
3.060,SYNTHETIC,0.015,0.088,9.816,0.069,0.142,-0.128,101324.6,,,,,,,,0
3.080,SYNTHETIC,0.072,-0.050,9.830,-0.019,0.053,0.193,101330.0,,,,,,,,0
3.100,SYNTHETIC,-0.077,0.003,9.762,0.124,-0.069,-0.051,101330.3,,,,,,,,0
3.120,SYNTHETIC,-0.095,0.100,9.772,-0.031,-0.073,0.021,101323.5,,,,,,,,0
3.140,SYNTHETIC,0.038,0.011,9.755,-0.018,-0.126,0.017,101328.2,,,,,,,,0
3.160,SYNTHETIC,0.023,-0.099,9.809,-0.008,-0.057,-0.108,101322.5,,,,,,,,0
3.180,SYNTHETIC,0.055,0.043,9.795,-0.005,0.014,-0.146,101325.5,,,,,,,,0
3.200,SYNTHETIC,-0.002,-0.066,9.790,0.082,0.015,-0.004,101326.6,,,,,,,,0
3.220,SYNTHETIC,-0.074,-0.029,9.811,0.027,0.126,-0.044,101326.3,,,,,,,,0
3.240,SYNTHETIC,0.046,-0.002,9.821,0.032,-0.071,-0.086,101326.8,,,,,,,,0
3.260,SYNTHETIC,-0.037,-0.012,9.868,-0.009,0.049,-0.063,101329.9,,,,,,,,0
3.280,SYNTHETIC,-0.055,-0.046,9.779,-0.137,-0.075,-0.133,101327.0,,,,,,,,0
3.300,SYNTHETIC,0.011,-0.009,9.816,-0.001,0.134,0.090,101325.0,,,,,,,,0
3.320,SYNTHETIC,0.014,-0.028,9.875,0.211,-0.092,-0.110,101325.7,,,,,,,,0
3.340,SYNTHETIC,-0.044,0.053,9.797,0.051,0.001,-0.148,101329.1,,,,,,,,0
3.360,SYNTHETIC,0.076,-0.014,9.776,-0.075,-0.299,0.059,101327.8,,,,,,,,0
3.380,SYNTHETIC,0.022,-0.050,9.806,0.148,-0.124,-0.016,101331.3,,,,,,,,0
3.400,SYNTHETIC,0.022,0.095,9.826,-0.004,0.059,0.071,101325.5,,,,,,,,0
3.420,SYNTHETIC,0.028,-0.080,9.729,-0.022,-0.092,-0.105,101324.8,,,,,,,,0
3.440,SYNTHETIC,-0.107,0.053,9.713,-0.011,0.061,0.043,101325.5,,,,,,,,0
3.460,SYNTHETIC,0.021,-0.029,9.757,-0.051,0.068,-0.083,101326.1,,,,,,,,0
3.480,SYNTHETIC,0.043,0.010,9.742,0.243,0.016,0.069,101331.8,,,,,,,,0
3.500,SYNTHETIC,0.001,-0.030,9.718,0.059,0.032,-0.078,101324.7,,,,,,,,0
3.520,SYNTHETIC,-0.001,0.009,9.753,0.046,-0.079,0.042,101326.8,,,,,,,,0
3.540,SYNTHETIC,-0.064,0.011,9.878,-0.024,-0.040,0.001,101323.4,,,,,,,,0
3.560,SYNTHETIC,-0.087,-0.016,9.783,-0.085,-0.028,0.160,101326.0,,,,,,,,0
3.580,SYNTHETIC,0.048,-0.004,9.813,0.067,0.078,0.101,101324.0,,,,,,,,0
3.600,SYNTHETIC,-0.073,0.019,9.791,0.049,-0.082,0.016,101331.2,,,,,,,,0
3.620,SYNTHETIC,0.009,-0.031,9.860,0.125,0.037,0.037,101318.6,,,,,,,,0
3.640,SYNTHETIC,-0.036,0.005,9.887,-0.054,0.129,-0.155,101328.2,,,,,,,,0
3.660,SYNTHETIC,0.128,-0.048,9.848,0.165,-0.008,-0.055,101324.6,,,,,,,,0
3.680,SYNTHETIC,-0.003,0.034,9.847,-0.117,-0.164,-0.134,101320.8,,,,,,,,0
3.700,SYNTHETIC,0.081,0.084,9.841,-0.146,0.102,0.095,101328.4,,,,,,,,0
3.720,SYNTHETIC,-0.011,-0.016,9.755,-0.125,-0.035,0.067,101325.5,,,,,,,,0
3.740,SYNTHETIC,-0.011,0.007,9.799,-0.023,0.065,-0.127,101318.9,,,,,,,,0
3.760,SYNTHETIC,0.031,-0.037,9.824,-0.103,-0.049,-0.089,101327.0,,,,,,,,0
3.780,SYNTHETIC,0.048,-0.025,9.755,-0.176,0.124,-0.015,101322.7,,,,,,,,0
3.800,SYNTHETIC,0.065,0.000,9.825,0.135,-0.010,0.193,101325.8,,,,,,,,0
3.820,SYNTHETIC,-0.043,0.058,9.736,-0.043,0.065,0.157,101321.9,,,,,,,,0
3.840,SYNTHETIC,-0.014,0.018,9.671,0.103,-0.002,-0.087,101328.9,,,,,,,,0
3.860,SYNTHETIC,-0.047,-0.074,9.761,-0.031,-0.124,-0.072,101326.6,,,,,,,,0
3.880,SYNTHETIC,-0.016,-0.032,9.839,-0.073,0.094,-0.180,101331.2,,,,,,,,0
3.900,SYNTHETIC,-0.070,0.130,9.798,0.076,-0.110,0.009,101328.0,,,,,,,,0
3.920,SYNTHETIC,0.054,-0.009,9.808,0.024,0.109,0.119,101324.2,,,,,,,,0
3.940,SYNTHETIC,-0.035,0.021,9.802,-0.083,-0.023,-0.013,101317.0,,,,,,,,0
3.960,SYNTHETIC,-0.002,-0.067,9.789,0.210,-0.089,-0.008,101327.4,,,,,,,,0
3.980,SYNTHETIC,-0.016,-0.010,9.720,-0.008,-0.168,0.162,101324.8,,,,,,,,0
4.000,SYNTHETIC,0.064,0.056,9.795,0.054,-0.120,-0.066,101325.7,-0.0000054,0.0000041,-3.8,3,9,23.73,4.099,0
4.020,SYNTHETIC,-0.048,-0.029,9.811,-0.063,-0.080,0.037,101327.0,,,,,,,,0
4.040,SYNTHETIC,0.040,-0.051,9.773,0.095,-0.150,-0.103,101321.3,,,,,,,,0
4.060,SYNTHETIC,0.003,0.042,9.838,-0.008,-0.096,0.028,101329.2,,,,,,,,0
4.080,SYNTHETIC,-0.067,-0.009,9.832,0.103,0.076,-0.044,101328.0,,,,,,,,0
4.100,SYNTHETIC,0.078,-0.012,9.691,0.076,0.025,0.054,101328.2,,,,,,,,0
4.120,SYNTHETIC,-0.033,-0.027,9.804,-0.232,-0.046,0.102,101324.7,,,,,,,,0
4.140,SYNTHETIC,0.011,-0.041,9.899,0.058,-0.012,0.022,101322.9,,,,,,,,0
4.160,SYNTHETIC,-0.010,-0.021,9.841,-0.067,0.028,0.003,101321.4,,,,,,,,0
4.180,SYNTHETIC,-0.015,-0.059,9.860,0.081,-0.052,-0.041,101323.3,,,,,,,,0
4.200,SYNTHETIC,-0.035,0.020,9.758,0.039,0.088,0.050,101322.2,,,,,,,,0
4.220,SYNTHETIC,0.028,0.019,9.807,0.051,0.093,0.021,101323.8,,,,,,,,0
4.240,SYNTHETIC,0.047,-0.056,9.831,0.111,0.020,0.001,101323.0,,,,,,,,0
4.260,SYNTHETIC,-0.054,0.016,9.778,-0.090,-0.123,-0.106,101322.8,,,,,,,,0
4.280,SYNTHETIC,-0.007,-0.020,9.786,-0.067,0.085,0.083,101324.8,,,,,,,,0
4.300,SYNTHETIC,-0.025,0.009,9.701,0.155,-0.024,0.036,101325.5,,,,,,,,0
4.320,SYNTHETIC,0.009,-0.081,9.773,-0.016,0.058,-0.026,101329.4,,,,,,,,0
4.340,SYNTHETIC,0.049,-0.077,9.815,0.029,0.032,-0.080,101330.1,,,,,,,,0
4.360,SYNTHETIC,-0.032,0.013,9.825,-0.025,0.028,-0.105,101322.0,,,,,,,,0
4.380,SYNTHETIC,-0.015,-0.023,9.778,0.106,-0.046,0.142,101325.3,,,,,,,,0
4.400,SYNTHETIC,-0.032,-0.072,9.775,0.112,-0.078,0.099,101323.9,,,,,,,,0
4.420,SYNTHETIC,-0.075,0.063,9.857,-0.050,-0.366,-0.012,101324.7,,,,,,,,0
4.440,SYNTHETIC,0.040,0.040,9.786,-0.037,0.058,-0.189,101325.7,,,,,,,,0
4.460,SYNTHETIC,-0.062,0.019,9.812,-0.093,-0.061,-0.029,101323.9,,,,,,,,0
4.480,SYNTHETIC,0.052,-0.030,9.809,0.055,0.036,0.007,101325.4,,,,,,,,0
4.500,SYNTHETIC,0.018,0.032,9.837,0.028,0.032,0.020,101329.3,,,,,,,,0
4.520,SYNTHETIC,0.006,-0.037,9.761,0.170,0.104,0.012,101322.7,,,,,,,,0
4.540,SYNTHETIC,0.045,0.028,9.909,0.019,0.039,-0.110,101326.4,,,,,,,,0
4.560,SYNTHETIC,0.025,0.115,9.844,-0.012,0.033,0.108,101330.5,,,,,,,,0
4.580,SYNTHETIC,-0.049,0.103,9.805,0.094,0.032,0.191,101326.7,,,,,,,,0
4.600,SYNTHETIC,0.064,-0.037,9.814,0.030,0.115,-0.082,101326.8,,,,,,,,0
4.620,SYNTHETIC,-0.020,0.016,9.777,-0.107,-0.011,0.041,101324.7,,,,,,,,0
4.640,SYNTHETIC,0.036,0.032,9.845,-0.063,-0.212,0.042,101326.7,,,,,,,,0
4.660,SYNTHETIC,0.023,0.059,9.821,-0.031,0.085,-0.044,101326.7,,,,,,,,0
4.680,SYNTHETIC,0.060,0.007,9.755,0.028,0.118,-0.052,101318.5,,,,,,,,0
4.700,SYNTHETIC,-0.007,0.043,9.806,-0.140,-0.040,0.008,101319.1,,,,,,,,0
4.720,SYNTHETIC,0.051,-0.021,9.734,-0.047,0.092,-0.044,101328.7,,,,,,,,0
4.740,SYNTHETIC,-0.024,-0.066,9.844,0.033,0.065,-0.051,101323.3,,,,,,,,0
4.760,SYNTHETIC,0.014,-0.042,9.793,-0.059,-0.034,0.062,101323.7,,,,,,,,0
4.780,SYNTHETIC,-0.036,-0.002,9.728,-0.088,0.119,0.040,101321.5,,,,,,,,0
4.800,SYNTHETIC,-0.046,-0.023,9.708,0.077,0.099,0.134,101332.6,,,,,,,,0
4.820,SYNTHETIC,-0.019,0.038,9.822,0.064,0.053,0.035,101327.1,,,,,,,,0
4.840,SYNTHETIC,-0.073,-0.088,9.877,-0.032,0.089,0.006,101323.4,,,,,,,,0
4.860,SYNTHETIC,-0.046,-0.027,9.803,-0.021,-0.030,0.011,101323.4,,,,,,,,0
4.880,SYNTHETIC,-0.011,0.001,9.838,-0.048,-0.180,0.029,101324.0,,,,,,,,0
4.900,SYNTHETIC,-0.013,0.043,9.875,0.066,-0.023,-0.125,101326.1,,,,,,,,0
4.920,SYNTHETIC,0.066,0.084,9.795,0.111,0.108,-0.077,101321.8,,,,,,,,0
4.940,SYNTHETIC,-0.024,0.014,9.792,-0.012,0.083,-0.031,101325.5,,,,,,,,0
4.960,SYNTHETIC,0.075,-0.045,9.718,0.182,-0.067,0.099,101323.3,,,,,,,,0
4.980,SYNTHETIC,-0.129,-0.021,9.857,0.119,-0.077,-0.077,101323.7,,,,,,,,0
5.000,SYNTHETIC,0.086,-0.006,9.819,0.102,0.114,0.077,101326.0,-0.0000031,-0.0000121,3.5,3,9,23.67,4.094,0
5.020,SYNTHETIC,-0.126,0.350,55.092,-0.096,0.063,0.030,101326.3,,,,,,,,0
5.040,SYNTHETIC,-0.169,0.406,55.640,-0.083,-0.143,0.216,101322.6,,,,,,,,0
5.060,SYNTHETIC,0.121,0.081,54.611,0.085,-0.069,-0.149,101326.0,,,,,,,,0
5.080,SYNTHETIC,-0.021,0.480,55.013,-0.147,0.123,0.169,101321.5,,,,,,,,0
5.100,SYNTHETIC,-0.171,0.837,55.201,-0.068,-0.004,-0.015,101323.4,,,,,,,,0
